,l,psi
0,424,0.0008445959324635458
1,165,0.0010367331037875063
2,165,0.0010367331037875063
3,681,0.0010643602658927068
4,49,0.0010824105881182206
5,146,0.0011204841316775082
6,98,0.0010991911269558328
7,292,0.0010379137193937038
8,186,0.0009317043000196348
9,627,0.0008930403688717417
10,311,0.0003205619241586655
11,247,0.00042869269054357376
12,247,0.00042869269054357376
13,62,0.0004145537666467899
14,508,0.00038229063570612866
15,454,0.0006977907021235891
16,34,0.0007269986047438708
17,1479,0.0005201034933356563
18,40,0.0005713862549800797
19,22,0.00039590081819996007
20,20,0.00029921836327345306
21,20,0.00029921836327345306
22,468,0.00024685823461979367
23,226,0.00041797613925288475
24,226,0.00041797613925288475
25,47,0.00045073474669055444
26,423,0.00023398541686654517
27,282,0.0005730888932114373
28,282,0.0005730888932114373
29,212,0.0005770172346259302
30,121,0.0008020988044659617
31,248,0.0008760505464480874
32,128,0.0008846390205371247
33,210,0.0007650662095984328
34,107,0.0008001262491342634
35,107,0.0008001262491342634
36,159,0.0005528366965252485
37,239,0.00030821466940130876
38,30,0.0004599830508474576
39,56,0.0004146410103420842
40,180,0.0004023316306483299
41,121,0.0004046770082007706
42,121,0.0004046770082007706
43,116,0.0004246445235270858
44,471,0.00039801738133893614
45,1190,0.0006237617515638963
46,66,0.0006428489966222928
47,66,0.0006428489966222928
48,181,0.0008614028091543071
49,279,0.0007373147193306741
50,279,0.0007373147193306741
51,354,0.0002605845084025497
52,214,0.00027182122576855294
53,123,0.0001811844314926405
54,234,0.00032760015634160643
55,93,0.000332176756167641
56,364,0.000327748359706677
57,568,0.00028627176381529145
58,156,0.0004743450177235132
59,588,0.00047324574990555347
60,192,0.00042257005494505495
61,300,0.0005184757281553399
62,663,0.00042451861577417235
63,17,0.00035297554157931514
64,17,0.00035297554157931514
65,17,0.00035297554157931514
66,481,0.00034246522278408547
67,32,0.0003324770733652313
68,25,0.0004427956109725686
69,25,0.0004427956109725686
70,25,0.0004427956109725686
71,17,0.00036610102825197164
72,218,0.00038637874339401057
73,211,0.00045841954754676325
74,575,0.000442640378250591
75,210,0.0005393574926542605
76,38,0.000548599322574218
77,38,0.000548599322574218
78,118,0.0006136736509191539
79,144,0.0006571269716088328
80,144,0.0006571269716088328
81,114,0.0008429574846747083
82,462,0.0006418554769642515
83,501,0.0005990035234739549
84,732,0.00033860305628028326
85,370,0.0003778189006750241
86,345,0.000509357177380377
87,345,0.000509357177380377
88,42,0.0005919428400716989
89,42,0.0005919428400716989
90,250,0.000579930731707317
91,364,0.000573551717483597
92,41,0.0005920017926501344
93,479,0.0005721641377994083
94,41,0.0006765541280748929
95,41,0.0006765541280748929
96,51,0.0007758125559645807
97,594,0.0007238012082310741
98,24,0.0005974088188347965
99,101,0.0005928547668547669
100,40,0.00047673864541832663
101,133,0.0004240590150991808
102,87,0.00042599286209973224
103,165,0.0008831820954254796
104,375,0.0008653056385542169
105,211,0.0008792034080893154
106,277,0.0008252634037170381
107,127,0.0008688330206378987
108,881,0.0008086271482400514
109,197,0.0008315600666862804
110,197,0.0008315600666862804
111,197,0.0008315600666862804
112,647,0.0008495946275946276
113,83,0.0008009826440543488
114,48,0.0007366027070063694
115,87,0.0007533795975017349
116,87,0.0007533795975017349
117,648,0.000751553343350864
118,629,0.0006914753974974127
119,42,0.0006061766580362477
120,521,0.0005785786522193707
121,185,0.0006011501227295041
122,195,0.0006162177538008828
123,195,0.0006162177538008828
124,440,0.0005921120689655173
125,440,0.0005921120689655173
126,172,0.0006483114431773497
127,204,0.0006462783222265778
128,703,0.0007459073157058769
129,475,0.0006152244391408114
130,697,0.00047323062540899314
131,872,0.0004486348417954379
