model,w1,NLL,AIC,mean,phi1,phi2,bootstrap
mixture,0.35000000000000003,14508.432727960137,29022.865455920273,111.98476438564558,0.0033239684723794247,0.0971753348772493,boot_1
mixture,0.30000000000000004,14508.436075300346,29022.87215060069,97.52929961695303,0.0033213012677035985,0.09717826316332372,boot_1
mixture,0.4,14508.439471101643,29022.878942203286,126.44080961159524,0.003325951912421448,0.09717403790109626,boot_1
mixture,0.45,14508.450353803577,29022.900707607154,140.89737322365312,0.0033274834840528993,0.09717249565959395,boot_1
mixture,0.5,14508.462690289885,29022.92538057977,155.35427492433044,0.003328701526348097,0.09717127456629303,boot_1
mixture,0.25,14508.463582446613,29022.927164893226,83.0747994002383,0.0033175261034346093,0.09718245920736475,boot_1
mixture,0.2,14508.528929954098,29023.057859908196,242.09939549939867,0.09716722761619606,0.003332762759590129,boot_1
mixture,0.15000000000000002,14508.537523414228,29023.075046828457,256.5572512560024,0.09716683666505128,0.0033331566802478085,boot_1
mixture,0.1,14508.545484135744,29023.09096827149,271.0151469787272,0.09716648961173868,0.0033335063597996627,boot_1
mixture,0.05,14508.552865184278,29023.105730368556,285.4730835136308,0.09716617941163021,0.003333818770411621,boot_1
mixture,0.010000000000000007,14508.558387117124,29023.116774234248,297.0394571686782,0.09716595394287475,0.0033340457138091566,boot_1
mixture,0.009750000000000007,14508.558420618341,29023.116841236682,297.111751254593,0.09716595263662714,0.0033340470268633828,boot_1
mixture,0.009500000000000007,14508.558454107279,29023.116908214557,297.18403761788903,0.09716595124471485,0.003334048425923039,boot_1
mixture,0.009250000000000006,14508.558487584036,29023.11697516807,297.25633162873555,0.09716594994363013,0.00333404973847299,boot_1
mixture,0.009000000000000006,14508.558521048533,29023.117042097067,297.3286182528584,0.09716594855820836,0.0033340511332176272,boot_1
mixture,0.008750000000000006,14508.558554500858,29023.117109001716,297.4009125509176,0.0971659472595236,0.0033340524412024345,boot_1
mixture,0.008500000000000006,14508.558587940932,29023.117175881864,297.4731990769621,0.09716594587011,0.0033340538356625028,boot_1
mixture,0.008250000000000006,14508.558621368742,29023.117242737484,297.5454896152073,0.09716594453721666,0.003334055184449003,boot_1
mixture,0.008000000000000005,14508.558654784429,29023.117309568857,297.6177837651168,0.09716594323654726,0.003334056492084882,boot_1
mixture,0.007750000000000005,14508.558688187868,29023.117376375736,297.69007045391777,0.09716594185259356,0.003334057882647887,boot_1
mixture,0.007500000000000005,14508.558721579197,29023.117443158393,297.762364990904,0.09716594055978932,0.0033340591846105962,boot_1
mixture,0.007250000000000005,14508.558754958245,29023.11750991649,297.83465562361715,0.09716593921309598,0.0033340605296349707,boot_1
mixture,0.0070000000000000045,14508.558788325216,29023.11757665043,297.906946095275,0.0971659378792188,0.0033340618757851767,boot_1
mixture,0.006750000000000004,14508.5588216799,29023.1176433598,297.9792367329804,0.09716593654673827,0.0033340632193996945,boot_1
mixture,0.006500000000000004,14508.558855022493,29023.117710044986,298.0515239073978,0.09716593516831798,0.003334064601088392,boot_1
mixture,0.0037500000000000016,14508.55922309183,29023.11844618366,298.8466798089582,0.09742226374550278,0.003334078654489604,boot_1
mixture,0.0035000000000000014,14508.55925724082,29023.11851448164,298.9189928010592,0.0975665634773066,0.003334079222945379,boot_1
mixture,0.003250000000000001,14508.559291578917,29023.118583157833,298.99124338314374,0.09776367223162119,0.0033340803730398084,boot_1
mixture,0.003000000000000001,14508.55932556275,29023.1186511255,299.06349977611296,0.09794230462512378,0.0033340816401645013,boot_1
mixture,0.0027500000000000007,14508.559359140749,29023.118718281497,299.13576496996,0.09808716202903353,0.0033340830221841697,boot_1
mixture,0.0025000000000000005,14508.559392859483,29023.118785718965,299.2080286974943,0.09829215707330756,0.003334084331586939,boot_1
mixture,0.0022500000000000003,14508.559426172073,29023.118852344145,299.28030875970916,0.09846017855661222,0.0033340856745794987,boot_1
mixture,0.002,14508.559459200844,29023.118918401688,299.35260338887315,0.09860539477871319,0.003334087004892707,boot_1
mixture,0.006250000000000004,14508.559717678243,29023.119435356486,299.9312367702262,0.00333409773579156,0.003334097543181296,boot_1
mixture,0.005500000000000003,14508.559717678274,29023.119435356548,299.93123746101844,0.0033340977045553505,0.0033340975357778447,boot_1
mixture,0.005750000000000003,14508.559717678285,29023.11943535657,299.9312410764943,0.003334097675494072,0.0033340974954806676,boot_1
mixture,0.005000000000000003,14508.559717678294,29023.119435356588,299.9312377495935,0.0033340976913902426,0.0033340975327048336,boot_1
mixture,0.004000000000000002,14508.559717678298,29023.119435356595,299.93123894675267,0.003334097644448035,0.0033340975196913653,boot_1
mixture,0.006000000000000004,14508.5597176783,29023.1194353566,299.9312369851026,0.003334097724103975,0.003334097540897259,boot_1
mixture,0.0047500000000000025,14508.559717678303,29023.119435356606,299.9312380584835,0.0033340976790298496,0.0033340975293536137,boot_1
mixture,0.004250000000000002,14508.55971767832,29023.11943535664,299.9312425274127,0.0033340976059195353,0.0033340974798512476,boot_1
mixture,0.005250000000000003,14508.55971767833,29023.11943535666,299.93124168274477,0.0033340976520138343,0.0033340974889202986,boot_1
mixture,0.004500000000000002,14508.559717678338,29023.119435356675,299.93124814086787,0.0033340977379225792,0.003334097416540495,boot_1
null,,14508.559717678383,29019.119435356766,299.93125329234704,0.003334097360721814,,boot_1
sum,,14519.901278019937,29041.802556039875,436.0952823579095,0.0045861537166517015,,boot_1
mixture,0.35000000000000003,14493.398788051296,28992.797576102592,197.11438656912117,0.09714098623734738,0.003358975650073745,boot_2
mixture,0.30000000000000004,14493.399103841806,28992.798207683612,211.44616343269004,0.09714036434195111,0.0033596046596436374,boot_2
mixture,0.4,14493.39939721937,28992.79879443874,182.78271077146414,0.09714171457751637,0.003358239994855982,boot_2
mixture,0.25,14493.400008663382,28992.800017326765,225.77801780976435,0.09713982698974037,0.003360148692030689,boot_2
mixture,0.2,14493.401284783627,28992.802569567255,240.10994160204706,0.09713935801640346,0.0033606237841222212,boot_2
mixture,0.45,14493.401460749334,28992.802921498667,168.4511624915464,0.09714257936281089,0.0033573680945559424,boot_2
mixture,0.15000000000000002,14493.402788723866,28992.805577447733,254.4419118447465,0.09713894491297285,0.0033610423994223093,boot_2
mixture,0.1,14493.404424770535,28992.80884954107,268.77391860426496,0.09713857809844932,0.0033614140698984135,boot_2
mixture,0.5,14493.40583546714,28992.81167093428,154.11977733509815,0.00335631831658965,0.09714362296719999,boot_2
mixture,0.05,14493.406128556268,28992.812257112535,283.1059479687221,0.0971382500187266,0.0033617463692513644,boot_2
mixture,0.010000000000000007,14493.407510644067,28992.815021288134,294.5716034604394,0.09713801162805294,0.003361987688554387,boot_2
mixture,0.009750000000000007,14493.407519295126,28992.81503859025,294.64326585155436,0.0971380102091003,0.0033619891121924555,boot_2
mixture,0.009500000000000007,14493.407527946132,28992.815055892264,294.7149287995194,0.09713800881975079,0.0033619905287574515,boot_2
mixture,0.009250000000000006,14493.407536597113,28992.815073194226,294.7865904992987,0.09713800740219916,0.00336199195884817,boot_2
mixture,0.009000000000000006,14493.407545248087,28992.815090496173,294.8582520587639,0.09713800598900711,0.003361993389818035,boot_2
mixture,0.008750000000000006,14493.407553898953,28992.815107797906,294.92990771408927,0.09713800450937941,0.0033619948873907955,boot_2
mixture,0.008500000000000006,14493.407562549835,28992.81512509967,295.0015686959836,0.09713800309177377,0.003361996323485699,boot_2
mixture,0.008250000000000006,14493.407571200678,28992.815142401356,295.0732331348613,0.09713800171039733,0.0033619977194571625,boot_2
