model,w1,NLL,AIC,mean,phi1,phi2,bootstrap
mixture,0.15000000000000002,14338.637758311175,28683.27551662235,289.77366447688536,0.005291955543526864,0.0032513638351900783,boot_1
mixture,0.12500000000000003,14338.825773916044,28683.651547832087,298.63032379152,0.0039304838135086366,0.0032792706751612606,boot_1
mixture,0.10000000000000002,14338.864793950648,28683.729587901296,299.1366674443955,0.0037145853285165276,0.0033062009085616396,boot_1
mixture,0.3000000000000001,14338.879740787494,28683.759481574987,298.295597937042,0.003352384206279276,0.003352377255715186,boot_1
mixture,0.3750000000000001,14338.879740787499,28683.759481574998,298.2955726708048,0.0033523829618270578,0.00335237762264245,boot_1
mixture,0.3500000000000001,14338.87974078751,28683.75948157502,298.2956120981722,0.0033523833116939844,0.00335237695791096,boot_1
mixture,0.42500000000000016,14338.879740787514,28683.759481575027,298.2955701509271,0.0033523817087610947,0.003352378133794206,boot_1
mixture,0.47500000000000014,14338.879740787515,28683.75948157503,298.29556012269904,0.0033523803801419855,0.0033523792100735197,boot_1
mixture,0.25000000000000006,14338.879740787519,28683.759481575038,298.2956178481971,0.0033523845228559243,0.003352377315199814,boot_1
mixture,0.40000000000000013,14338.87974078752,28683.75948157504,298.2956046958636,0.003352382130950397,0.003352377354240339,boot_1
mixture,0.32500000000000007,14338.87974078752,28683.75948157504,298.29559422827674,0.003352383927574893,0.003352377194227077,boot_1
mixture,0.2750000000000001,14338.879740787528,28683.759481575056,298.29562719609953,0.0033523843703965636,0.0033523769795851554,boot_1
mixture,0.4500000000000001,14338.879740787535,28683.75948157507,298.2955970003879,0.0033523807832747192,0.0033523781798814566,boot_1
mixture,0.22500000000000006,14338.879740787535,28683.75948157507,298.2956265254043,0.0033523844944466892,0.003352377430122202,boot_1
mixture,0.5000000000000001,14338.879740787539,28683.759481575078,298.2955970843414,0.0033523793504644174,0.0033523793504644174,boot_1
mixture,0.20000000000000007,14338.879740787568,28683.759481575136,298.2956411627693,0.003352384181497915,0.0033523775234924175,boot_1
mixture,0.17500000000000004,14338.879740787595,28683.75948157519,298.29565496974834,0.0033523838116845182,0.0033523776156112856,boot_1
mixture,0.07500000000000001,14338.879740787792,28683.759481575584,298.2957269268778,0.0033523807513038788,0.0033523776593394118,boot_1
mixture,0.05,14338.879740787888,28683.759481575777,298.2957494503492,0.0033523796690479346,0.003352377531216431,boot_1
mixture,0.02,14338.879740787945,28683.75948157589,298.2957692097006,0.0033523782715279425,0.0033523773985848966,boot_1
mixture,0.015,14338.879740787976,28683.75948157595,298.2957774000027,0.0033523779651318435,0.00335237731423412,boot_1
mixture,0.025,14338.879740788,28683.759481576,298.2957702851021,0.0033523784702391515,0.003352377376617389,boot_1
mixture,0.005,14338.879740788005,28683.75948157601,298.29578298321314,0.003352377483900562,0.003352377260132203,boot_1
mixture,0.01,14338.879740788016,28683.75948157603,298.2957862905341,0.0033523776571469056,0.0033523772197075457,boot_1
null,,14338.879740789589,28679.759481579178,298.29601189494383,0.0033523746886438017,,boot_1
sum,,14347.454145710575,28696.90829142115,432.6981925024581,0.004622159358774392,,boot_1
mixture,0.3500000000000001,14271.181251913418,28548.362503826836,130.69451360015273,0.0033296126851600724,0.02541327635149371,boot_2
mixture,0.3750000000000001,14271.184202980508,28548.368405961017,139.24153886421374,0.003326339233211359,0.023580463942182033,boot_2
mixture,0.32500000000000007,14271.193481031802,28548.386962063603,121.93711944443893,0.0033343113490543084,0.02758962559907046,boot_2
mixture,0.40000000000000013,14271.203774208567,28548.407548417134,147.5623944646414,0.003324388962389925,0.022026811149391232,boot_2
mixture,0.3000000000000001,14271.218393217174,28548.436786434348,112.99647209230595,0.0033403080988244063,0.03019271899555376,boot_2
mixture,0.42500000000000016,14271.240422584411,28548.480845168822,155.66814083696335,0.003323602198346919,0.02068729667130134,boot_2
mixture,0.2750000000000001,14271.252779512253,28548.505559024507,103.925745993979,0.0033473384757147268,0.03330129826217465,boot_2
mixture,0.4500000000000001,14271.29387457156,28548.58774914312,163.56794603509184,0.0033238098177532966,0.01951659971202725,boot_2
mixture,0.47500000000000014,14271.363391826879,28548.726783653758,171.2728970070787,0.0033248699042448806,0.018479301708515968,boot_2
mixture,0.20000000000000007,14271.391146537775,28548.78229307555,76.27084200662567,0.0033727800584577253,0.04713485289391357,boot_2
mixture,0.22500000000000006,14271.420505750923,28548.841011501845,82.88130589259058,0.0033868484524769422,0.04711858037343767,boot_2
