,l,psi
0,499,0.0004002230688637013
1,65,0.000554011525086935
2,229,0.0006736165803108809
3,38,0.0007403152022315202
4,58,0.0010273084112149534
5,58,0.0010273084112149534
6,546,0.000989340792717618
7,356,0.0010074920818848978
8,466,0.0008633720619147716
9,2,0.0010142663467306537
10,195,0.0005098091221186857
11,195,0.0005098091221186857
12,195,0.0005098091221186857
13,2,0.0003330807838432314
14,427,0.0002196771842332406
15,151,0.00022565008373559255
16,208,0.00035371826018808775
17,28,0.0003600674112485042
18,28,0.0003600674112485042
19,230,0.0006101343108504398
20,230,0.0006101343108504398
21,230,0.0006101343108504398
22,37,0.0007517319916309654
23,37,0.0007517319916309654
24,337,0.0009601590403405242
25,208,0.000919181818181818
26,78,0.0009310386981543955
27,209,0.0009279880497600156
28,185,0.0009064371134020618
29,228,0.0005690612045365662
30,347,0.0005626330337295835
31,78,0.0005776507243500694
32,10,0.0005895244755244755
33,578,0.0006812128946870863
34,94,0.0006664507628294037
35,18,0.0005995426232780994
36,18,0.0005995426232780994
37,83,0.0006231242685708619
38,83,0.0006231242685708619
39,83,0.0006231242685708619
40,247,0.0006131513613740607
41,109,0.0005903300029676525
42,279,0.0005557589259655609
43,371,0.0005659238260534181
44,371,0.0005659238260534181
45,477,0.00023981273265247685
46,477,0.00023981273265247685
47,357,0.0002881604711789128
48,405,0.0002479507928880346
49,33,0.0003697422505731088
50,868,0.0005674595141700405
51,204,0.0006390974127793022
52,9,0.0006360645419122789
53,425,0.0006050960191846522
54,425,0.0006050960191846522
55,41,0.0004060382432028683
56,41,0.0004060382432028683
57,260,0.00046566647173489274
58,323,0.0003550378765862637
59,430,0.0003513955896452541
60,202,0.000359248774750049
61,275,0.0003871910462287104
62,52,0.0003805447672105054
63,563,0.00044532291962510643
64,261,0.0005844981970568171
65,123,0.0005639867628173466
66,18,0.0005074394090636853
67,85,0.0003797630143777888
68,144,0.00016031999211356466
69,144,0.00016031999211356466
70,34,0.0007850163444289416
71,162,0.0012087640228301516
72,147,0.0012093475904208142
73,928,0.0010966034040995607
74,421,0.0010772812589962576
75,553,0.0011291128589026819
76,133,0.0011608907529852956
77,113,0.0009902928903391674
78,147,0.0010345244899970434
79,61,0.0006992998707881921
80,463,0.0006176264933575456
81,14,0.0006453191531855403
82,14,0.0006453191531855403
83,14,0.0006453191531855403
84,35,0.0007081498754359741
85,10,0.0007516169830169831
86,286,0.0006693083803227688
87,286,0.0006693083803227688
88,643,0.0005897929155313352
89,38,0.0005932715680414426
90,38,0.0005932715680414426
91,768,0.0005929905274888559
92,104,0.0006656987331749803
93,104,0.0006656987331749803
94,239,0.0005268451997265358
95,124,0.00034237040695377324
96,124,0.00034237040695377324
97,18,0.0006113801157915753
98,344,0.0006792989172467131
99,344,0.0006792989172467131
100,49,0.0006992405214449197
101,49,0.0006992405214449197
102,77,0.0007028986801627468
103,77,0.0007028986801627468
104,77,0.0007028986801627468
105,84,0.000702410749702499
106,114,0.0005910146331817284
107,227,0.000667253348978195
108,745,0.0006251460214053048
109,58,0.0007495557764963214
110,58,0.0007495557764963214
111,294,0.0008190693607926947
112,413,0.0010214558724671084
113,517,0.0010113549491299802
114,105,0.0010064029688273133
115,145,0.0009894304583538687
116,244,0.001024959390862944
117,241,0.0010281523288741333
118,255,0.0009820924427108727
119,285,0.0007953967914438503
120,285,0.0007953967914438503
121,1000,0.0007289165454545454
122,1000,0.0007289165454545454
123,255,0.0006948429058995612
124,281,0.0005911160392957883
125,110,0.00028531196834817016
126,446,0.0002925349416044419
127,81,0.00048679198492213076
128,535,0.0004847329852871381
129,114,0.0004768720585327269
130,13,0.0003646343753120943
131,19,0.0002539159596766145
132,80,0.0003996357142857143
133,323,0.0003902284219703575
134,78,0.00034589382814050404
135,469,0.0004072178813640271
136,980,0.00037855555555555554
137,34,0.00028493322702810445
138,282,0.0002902199961097063
139,787,0.0006370067674052099
140,327,0.0007271833058971626
141,651,0.0007050626232278658
142,560,0.000711138446969697
143,53,0.0007259005272058091
144,53,0.0007259005272058091
145,946,0.0006666798830623058
146,14,0.0005051274216097463
147,162,0.0004759202912812438
148,457,0.0007575488189729367
149,90,0.0007851028741328047
150,201,0.0008037239486324869
151,201,0.0008037239486324869
152,373,0.0008004908898100839
153,79,0.0007597575156265501
154,279,0.0010030141064305868
155,279,0.0010030141064305868
156,177,0.0010130669155939864
157,71,0.0010237297189951346
158,573,0.0010968589804218293
159,118,0.001063092706068393
160,345,0.0008700494925084581
161,810,0.0008730954671600368
162,26,0.0003880600438858967
163,117,0.0003845695364238411
164,586,0.00034293500850179486
165,165,0.000339904377766847
166,262,0.0007016445137400118
167,757,0.0007296658919773171
168,71,0.0007639227484857511
169,356,0.0007843547701815373
170,396,0.0007813368603308966
171,177,0.0008232131276407585
172,177,0.0008232131276407585
173,50,0.0008899938308457711
174,133,0.0008018401263199448
175,7,0.0007685268312181472
176,178,0.000755614855570839
177,536,0.0007190089217919514
178,536,0.0007190089217919514
179,73,0.0007364759257420828
180,405,0.0006877247477174435
181,417,0.0005094910242872229
182,121,0.0004567242367355005
183,432,0.0004778774923312883
184,313,0.000517911955783962
185,1327,0.0004569467643683234
186,50,0.0004054573134328358
187,466,0.00040095509268106246
188,263,0.0005489991230634317
189,909,0.0005938898157484646
190,477,0.0006114204447838122
191,16,0.0006152907348242811
192,55,0.0006129042267528592
193,377,0.0006556081719186663
194,621,0.0006487826005084267
195,351,0.0006345738575982997
196,516,0.0005782200456447318
197,696,0.0004176432311144353
198,67,0.00045189867885169367
199,1026,0.0004571028478142572
200,1188,0.0004600927779764033
201,380,0.0005441423892100193
202,172,0.000555269170271333
203,84,0.0005090124950416501
204,373,0.000500753494649571
205,710,0.0005745811391223156
206,182,0.0006429212335494008
207,158,0.0006194748966331955
208,64,0.00042649900635930045
209,646,0.0006235429269209092
210,322,0.0006431154814958341
211,103,0.0006148635058893399
212,132,0.0006112181208053692
213,609,0.0005650836082571402
214,550,0.0005682437914691943
215,191,0.0005672505151604357
216,75,0.00031658223325062036
217,324,0.0006618498643936458
218,438,0.0006632611611419813
219,347,0.0006690944235043974
220,582,0.0006385849555849555
221,62,0.0006251514609421586
222,62,0.0006251514609421586
223,242,0.0005969031439172036
224,138,0.0005364271059380548
225,158,0.0004278694624926167
226,158,0.0004278694624926167
227,5,0.0004344125937031484
228,5,0.0004344125937031484
229,15,0.0005531670494258613
230,68,0.0002923716726261422
231,7,0.00018316598381133207
232,721,0.00034255517209215555
233,164,0.0005135348288075562
234,578,0.0004925951975798828
235,186,0.00022012055762811705
236,236,0.00013034251660805002
237,501,0.00023567622131225597
238,170,0.00033156165191740414
239,226,0.0003776270291414043
240,428,0.00037031204449558883
241,428,0.00037031204449558883
242,592,8.618712235649547e-05
243,416,0.00019270718125960061
244,231,0.0006486978789952105
245,231,0.0006486978789952105
246,793,0.0006149196701565829
247,204,0.0006504143473147785
248,58,0.0006230857029230463
249,58,0.0006230857029230463
250,58,0.0006230857029230463
251,618,0.0006729069504614805
252,141,0.000753288038654965
253,30,0.0007616245264207378
254,17,0.0006665682340021963
255,337,0.0005986810486601528
256,315,0.00045638991759573445
