,l,psi
0,1263,0.0005278511941756192
1,29,0.0006855726393458969
2,29,0.0006855726393458969
3,255,0.0004983740614334471
4,257,0.00047069533001852393
5,257,0.00047069533001852393
6,1016,0.0010221928104575163
7,566,0.0010657274275979558
8,242,0.0010605082991603204
9,135,0.0012258967932905773
10,316,0.0012043877471888328
11,776,0.001262039717891611
12,258,0.0011050115032170014
13,39,0.0011291172427532622
14,308,0.0008798740783857197
15,251,0.0007603148961076967
16,190,0.00027472443572129537
17,190,0.00027472443572129537
18,23,0.0002754231268083408
19,463,0.0004242309089171366
20,636,0.0004243330199323054
21,251,0.0005699523948883036
22,50,0.0005543930348258706
23,1356,0.0008031370200774921
24,608,0.0008042407616892911
25,37,0.0009659169074424629
26,22,0.0006091955697465575
27,123,0.0006031174552998123
28,123,0.0006031174552998123
29,414,0.0005862644516996351
30,198,0.00045234810747205343
31,782,0.000450446855870896
32,687,0.0004249218676897165
33,816,0.001091570451183432
34,28,0.0010068446350219385
35,413,0.001042782483434169
36,413,0.001042782483434169
37,283,0.0010114875036467956
38,209,0.0010322897443432266
39,353,0.0012528440065681446
40,181,0.0011819265298104312
41,120,0.0011261458498023713
42,161,0.0007707396909752978
43,18,0.0007817414653623478
44,58,0.000462380791409823
45,329,0.00045024939490754184
46,212,0.000434635722679201
47,78,0.00034355149831315733
48,153,0.0003410136905348173
49,76,0.00034361969035331486
50,252,0.00022779828326180258
51,252,0.00022779828326180258
52,143,0.00026307266094843736
53,231,0.00044062320398788004
54,23,0.0003605056370348199
55,23,0.0003605056370348199
56,23,0.0003605056370348199
57,760,0.00037103308550185874
58,760,0.00037103308550185874
59,326,0.0008831747046290918
60,313,0.0008947119169979635
61,93,0.0009142142078668382
62,54,0.0009767053908891984
63,280,0.0010037075875486382
64,69,0.0009752503724302314
65,227,0.0010089091620220983
66,396,0.0010090480954213158
67,290,0.0004213885325558795
68,511,0.00044109751688707074
69,263,0.0006474403195946604
70,477,0.0006210911520473418
71,477,0.0006210911520473418
72,533,0.0004674776416975221
73,156,0.000544495273729815
74,156,0.000544495273729815
75,293,0.00040358360050519776
76,242,0.00031025424721734034
77,60,0.0003062419483101392
78,57,0.00033636114149348715
79,57,0.00033636114149348715
80,25,0.00015609835411471324
81,8,0.00025034372501998403
82,8,0.00025034372501998403
83,417,0.00039151137563597966
84,29,0.0007419487486289761
85,849,0.0006858700341045258
86,337,0.0006654300087065879
87,70,0.000695488778550149
88,599,0.0001937152561562412
89,508,0.0003169261515036163
90,258,0.0003562538506531488
91,120,0.0003611118577075099
92,634,0.0003172591687041565
93,115,0.00044250696984676226
94,115,0.00044250696984676226
95,221,0.00049080403091674
96,304,0.00048685054347826086
97,266,0.000488652639781804
98,68,0.0006894185538339293
99,68,0.0006894185538339293
100,29,0.0006214410210389871
101,336,0.0004335808823529411
102,336,0.0004335808823529411
103,301,0.00042722551208620524
104,331,0.0004259848998160875
105,317,0.0003956506736454396
106,115,0.00041642689075630255
107,273,0.0005903595833738927
108,273,0.0005903595833738927
109,22,0.0007812091398922372
110,2,0.0006477822435512897
111,107,0.000734749975264668
112,282,0.0007222445049601244
113,636,0.0006542766077472735
114,282,0.0006768027621085391
115,31,0.0006696867710098695
116,34,0.0005152786525812238
117,282,0.0005484880373468196
118,17,0.0006191506439053608
119,17,0.0006191506439053608
120,17,0.0006191506439053608
121,427,0.00044890265656468786
122,90,0.00032564023785926666
123,90,0.00032564023785926666
124,90,0.00032564023785926666
125,4,0.0004448706517393043
126,713,0.00022738504620554469
127,8,0.00024340287769784175
128,1471,0.0003288998343649203
129,1085,0.0004755929634641407
130,434,0.0005241811385853939
131,210,0.00038405034280117534
132,186,0.0003225059886118201
133,84,0.0001628873462911543
134,1242,0.0005670560398505604
135,277,0.0005963281113165321
136,240,0.00055556796875
137,96,0.0006339625594294771
138,222,0.0005919434552925063
139,222,0.0005919434552925063
140,387,0.0005825402907480504
141,550,0.0004985264454976303
142,139,0.0005187349837262057
143,278,0.0005102062658104689
144,170,0.0005156243854473943
145,746,0.0004480846826726224
146,76,0.0004653003175863438
147,827,0.00036943807148794684
148,363,0.0003683062819646821
149,424,0.0007854282425172679
150,635,0.0007648013164080866
151,376,0.0007358658442559753
152,376,0.0007358658442559753
153,205,0.0007145859872611465
154,215,0.000713886441507587
155,215,0.000713886441507587
156,489,0.0007392119363142341
157,259,0.000252769665659421
158,815,0.0005381361072584374
159,973,0.0005303874965825208
160,159,0.0005427683827148342
161,70,0.0006010875868917578
162,76,0.0002718894402540691
163,23,0.00036608520403072937
164,359,0.0005933286996814364
