,model,w1,NLL,AIC,mean,phi1,phi2
37,mixture,0.25,14991.545234363206,29989.090468726412,224.10650989798788,0.09711450610981492,0.0033855119083943314
38,mixture,0.30000000000000004,14991.545413038706,29989.090826077412,209.88751282125048,0.09711508414270789,0.003384939240902081
36,mixture,0.2,14991.545604070241,29989.091208140482,238.32557091301882,0.09711400147376649,0.003386012124962823
35,mixture,0.15000000000000002,14991.546340629755,29989.09268125951,252.54468152456366,0.09711355693547451,0.0033864528610586682
39,mixture,0.35000000000000003,14991.546410264531,29989.092820529062,195.66859454363498,0.09711575305307962,0.003384277155513593
34,mixture,0.1,14991.547320137055,29989.09464027411,266.7638286399345,0.09711316217295334,0.0033868441907582035
33,mixture,0.05,14991.548456954437,29989.096913908874,280.982998209178,0.09711280904679233,0.0033871940801373872
40,mixture,0.4,14991.548635958628,29989.097271917257,181.4497834388272,0.09711653643443835,0.003383502777017452
32,mixture,0.010000000000000007,14991.549438867874,29989.09887773575,292.35837595945765,0.09711255252430503,0.0033874480710743278
31,mixture,0.009750000000000007,14991.549445150404,29989.098890300807,292.4294684490068,0.09711255094767067,0.0033874496359931846
30,mixture,0.009500000000000007,14991.549451434503,29989.098902869006,292.50056573230836,0.09711254941590318,0.003387451144586975
29,mixture,0.009250000000000006,14991.54945772011,29989.09891544022,292.5716614643777,0.09711254788497718,0.003387452670386141
28,mixture,0.009000000000000006,14991.549464007257,29989.098928014515,292.6427582834652,0.09711254634953628,0.003387454182829318
27,mixture,0.008750000000000006,14991.549470295944,29989.098940591888,292.71385632728015,0.09711254483991882,0.0033874556803321016
26,mixture,0.008500000000000006,14991.549476586144,29989.098953172288,292.78495158391826,0.09711254329686032,0.003387457209337124
25,mixture,0.008250000000000006,14991.54948287789,29989.09896575578,292.85605239861275,0.0971125418163123,0.003387458673262528
24,mixture,0.008000000000000005,14991.549489171073,29989.098978342146,292.92714537352606,0.09711254025064299,0.0033874602271373455
23,mixture,0.007750000000000005,14991.549495465839,29989.098990931678,292.99824785018694,0.09711253878859655,0.003387461670345469
5,mixture,0.003250000000000001,14991.549609222784,29989.099218445568,294.27813772890124,0.09723344535038886,0.0033874865236608897
4,mixture,0.003000000000000001,14991.549615861735,29989.09923172347,294.34910077108395,0.09745137585166405,0.0033874888009483147
3,mixture,0.0027500000000000007,14991.54962243482,29989.09924486964,294.42018317537725,0.09765758600561834,0.003387489878083089
2,mixture,0.0025000000000000005,14991.549628990477,29989.099257980954,294.491240837206,0.09788786314964353,0.0033874912943177606
1,mixture,0.0022500000000000003,14991.549635454921,29989.099270909843,294.5623110865378,0.09808799384004074,0.003387492787580526
0,mixture,0.002,14991.54964189867,29989.09928379734,294.63338130176504,0.09831473624106876,0.0033874943389405436
42,mixture,0.5,14991.549691325052,29989.099382650104,295.20220313841816,0.003387508593664212,0.003387508593664212
41,mixture,0.45,14991.549691325083,29989.099382650165,295.2022074492116,0.003387509388592913,0.00338750785332781
20,mixture,0.0070000000000000045,14991.54969132647,29989.09938265294,295.20241597825134,0.003387506356064414,0.0033875061498396656
18,mixture,0.006500000000000004,14991.549691326487,29989.099382652974,295.20241653524516,0.0033875063372415166,0.0033875061436331707
9,mixture,0.004250000000000002,14991.54969132649,29989.09938265298,295.20241832219233,0.003387506252188072,0.003387506123840576
16,mixture,0.006000000000000004,14991.549691326494,29989.09938265299,295.2024168449999,0.003387506321294594,0.003387506140250866
11,mixture,0.0047500000000000025,14991.5496913265,29989.099382653,295.2024179758967,0.0033875062689389837,0.0033875061276889256
21,mixture,0.007250000000000005,14991.549691326501,29989.099382653003,295.20241955763714,0.0033875063271074863,0.003387506108625082
22,mixture,0.007500000000000005,14991.549691326509,29989.099382653018,295.2024193982298,0.003387506338893227,0.0033875061103240418
10,mixture,0.004500000000000002,14991.549691326516,29989.099382653032,295.2024220058722,0.003387506213371773,0.003387506081521773
13,mixture,0.005250000000000003,14991.549691326516,29989.099382653032,295.20241744095154,0.0033875062910952206,0.0033875061336719934
15,mixture,0.005750000000000003,14991.54969132652,29989.09938265304,295.2024206917721,0.003387506272119611,0.003387506096183021
6,mixture,0.0035000000000000014,14991.549691326532,29989.099382653065,295.20241905981356,0.0033875062246146617,0.0033875061155399415
12,mixture,0.005000000000000003,14991.549691326545,29989.09938265309,295.20242149474586,0.00338750624427752,0.0033875060871949615
17,mixture,0.006250000000000004,14991.549691326554,29989.09938265311,295.2024239639055,0.0033875064906212175,0.003387506056935746
19,mixture,0.006750000000000004,14991.549691326556,29989.099382653112,295.2024200309981,0.003387506305273812,0.003387506103414619
8,mixture,0.004000000000000002,14991.54969132657,29989.09938265314,295.20242244956535,0.0033875061962000933,0.0033875060765450114
7,mixture,0.0037500000000000016,14991.54969132657,29989.09938265314,295.2024228099711,0.003387506187878156,0.003387506072455068
14,mixture,0.005500000000000003,14991.549691326574,29989.09938265315,295.2024211160635,0.0033875062568634413,0.0033875060914158677
