,model,w1,NLL,AIC,mean,phi1,phi2
35,mixture,0.15000000000000002,14789.054867142862,29584.109734285725,52.49884372810732,0.003429178753277447,0.09706972678654142
36,mixture,0.2,14789.207452415914,29584.41490483183,66.39135641736976,0.003439447016344225,0.09705823715230846
34,mixture,0.1,14789.232907470374,29584.465814940748,38.61235376910761,0.0034079561144824038,0.09709520378874081
37,mixture,0.25,14789.387659143858,29584.775318287717,80.28242551066793,0.003445679183782443,0.09705233669730075
38,mixture,0.30000000000000004,14789.547802964855,29585.09560592971,94.17793718627182,0.0034496625623984417,0.09704821515415815
39,mixture,0.35000000000000003,14789.682855096296,29585.365710192593,108.0745467305303,0.003452471601670777,0.09704536812883137
40,mixture,0.4,14789.79588062075,29585.5917612415,121.97190117259724,0.003454556793959661,0.09704329206653425
41,mixture,0.45,14789.890959389148,29585.781918778295,135.86955776473582,0.003456168275712417,0.0970434550047491
42,mixture,0.5,14789.971618157902,29585.943236315805,149.7678499344937,0.003457445144809121,0.09704223551484811
33,mixture,0.05,14790.363233261483,29586.726466522967,274.86006136329706,0.09703718025815539,0.003462795786518475
32,mixture,0.010000000000000007,14790.3826881899,29586.7653763798,285.97944099469015,0.09703696121457817,0.0034630352255747027
3,mixture,0.0027500000000000007,14790.386071771278,29586.772143542556,287.9949146358122,0.09737164416373646,0.0034630743618345138
2,mixture,0.0025000000000000005,14790.3861916456,29586.7723832912,288.064433156319,0.09761026288481339,0.003463074859862889
1,mixture,0.0022500000000000003,14790.38631018504,29586.77262037008,288.13390436085774,0.09783473488524981,0.003463076120540494
0,mixture,0.002,14790.386427953421,29586.772855906842,288.2033808182217,0.0980732903532503,0.0034630774260883063
24,mixture,0.008000000000000005,14790.387333043254,29586.77466608651,288.75957818866425,0.003463088837325056,0.0034630885863354247
31,mixture,0.009750000000000007,14790.387333043274,29586.77466608655,288.75958038110724,0.003463088868291302,0.0034630885590341545
21,mixture,0.007250000000000005,14790.38733304328,29586.77466608656,288.7595787346279,0.003463088806779872,0.0034630885801525606
23,mixture,0.007750000000000005,14790.387333043294,29586.77466608659,288.75957837291764,0.0034630888291092197,0.003463088584235825
22,mixture,0.007500000000000005,14790.387333043294,29586.77466608659,288.7595786217156,0.003463088817407331,0.0034630885813795565
26,mixture,0.008500000000000006,14790.387333043296,29586.774666086592,288.7595815054747,0.003463088811205141,0.0034630885463133114
14,mixture,0.005500000000000003,14790.387333043298,29586.774666086596,288.75958067173866,0.0034630887261367844,0.0034630885576371253
27,mixture,0.008750000000000006,14790.387333043302,29586.774666086603,288.7595779388143,0.003463088857499159,0.0034630885889903353
15,mixture,0.005750000000000003,14790.387333043302,29586.774666086603,288.7595800821311,0.003463088741151459,0.0034630885646199706
17,mixture,0.006250000000000004,14790.387333043302,29586.774666086603,288.7595833692551,0.003463088719592802,0.0034630885249963793
30,mixture,0.009500000000000007,14790.387333043303,29586.774666086607,288.7595770586134,0.0034630888868652423,0.0034630885991628496
12,mixture,0.005000000000000003,14790.387333043305,29586.77466608661,288.7595807644444,0.003463088716019411,0.0034630885566552336
10,mixture,0.004500000000000002,14790.387333043305,29586.77466608661,288.75958144325057,0.003463088687764936,0.0034630885486852865
29,mixture,0.009250000000000006,14790.387333043313,29586.774666086625,288.75958079671113,0.0034630888408014493,0.0034630885544160157
5,mixture,0.003250000000000001,14790.38733304332,29586.77466608664,288.7595823668198,0.0034630886412501042,0.003463088537898904
28,mixture,0.009000000000000006,14790.387333043323,29586.774666086647,288.7595810638407,0.0034630888320559346,0.0034630885513349118
9,mixture,0.004250000000000002,14790.387333043323,29586.774666086647,288.75958530773624,0.003463088634791971,0.003463088502401779
8,mixture,0.004000000000000002,14790.38733304333,29586.77466608666,288.75958533680904,0.0034630886301267117,0.003463088502103676
16,mixture,0.006000000000000004,14790.38733304333,29586.77466608666,288.7595798688578,0.003463088752389864,0.003463088567080956
20,mixture,0.0070000000000000045,14790.387333043334,29586.77466608667,288.7595829501759,0.0034630887458946664,0.0034630885297254315
19,mixture,0.006750000000000004,14790.387333043338,29586.774666086676,288.75958303873966,0.003463088738562612,0.0034630885287603073
4,mixture,0.003000000000000001,14790.387333043338,29586.774666086676,288.7595825334387,0.0034630886273697642,0.003463088535962316
11,mixture,0.0047500000000000025,14790.387333043338,29586.774666086676,288.7595849777415,0.0034630886520138036,0.0034630885062295826
25,mixture,0.008250000000000006,14790.387333043343,29586.774666086687,288.75958182636646,0.0034630887934944438,0.003463088542646951
7,mixture,0.0037500000000000016,14790.387333043345,29586.77466608669,288.7595858271171,0.0034630886116477793,0.0034630884963029684
13,mixture,0.005250000000000003,14790.387333043353,29586.774666086705,288.75958451935816,0.0034630886728943384,0.0034630885115725014
18,mixture,0.006500000000000004,14790.387333043363,29586.774666086727,288.7595834933534,0.003463088719602741,0.0034630885234493013
6,mixture,0.0035000000000000014,14790.38733304337,29586.77466608674,288.7595857852801,0.00346308860457593,0.003463088496860258
