,model,w1,NLL,AIC,mean,phi1,phi2
35,mixture,0.15000000000000002,14247.697382936398,28501.394765872796,56.5536388195222,0.003422092008220598,0.06681968548204474
36,mixture,0.2,14247.718686852086,28501.43737370417,72.6885058961046,0.0034226840219818313,0.0561213185375989
34,mixture,0.1,14248.026335384187,28502.052670768375,38.343318588480024,0.003439894341931947,0.09705954596019925
37,mixture,0.25,14249.040899878328,28504.081799756656,79.63333183583369,0.003476907933984307,0.09702001332217101
38,mixture,0.30000000000000004,14249.29845185322,28504.59690370644,93.40287418847737,0.003480779761573453,0.09701620240606836
39,mixture,0.35000000000000003,14249.503218505843,28505.006437011685,107.17363501883163,0.0034835041183333025,0.09701358954833571
40,mixture,0.4,14249.668588829623,28505.337177659247,120.94521950117885,0.0034855229328496578,0.09701169668125076
41,mixture,0.45,14249.804417425503,28505.608834851006,134.71704348972173,0.0034870837478137946,0.09701232241445797
33,mixture,0.05,14249.84600533275,28505.6920106655,24.282663456941144,0.0033823404114988955,0.1
42,mixture,0.5,14249.917678630727,28505.835357261454,148.48969082790833,0.0034883158094599085,0.0970111857130518
3,mixture,0.0027500000000000007,14250.478494836036,28506.95698967207,285.4676551130418,0.09737600099829359,0.0034937361515230093
2,mixture,0.0025000000000000005,14250.478653704507,28506.957307409015,285.536541257828,0.09763822598734288,0.003493736569660123
1,mixture,0.0022500000000000003,14250.478809596301,28506.957619192603,285.60538888825386,0.0978459652504234,0.003493737788100684
0,mixture,0.002,14250.478965397251,28506.957930794502,285.67423070285923,0.09810627563084559,0.0034937390786136642
30,mixture,0.009500000000000007,14250.48015685662,28506.96031371324,286.2254177716796,0.003493750111424996,0.0034937498107880135
31,mixture,0.009750000000000007,14250.480156856625,28506.96031371325,286.22541777717464,0.003493750111541313,0.003493749810643234
19,mixture,0.006750000000000004,14250.480156856627,28506.960313713254,286.22542009253465,0.0034937499957265927,0.0034937497838851096
18,mixture,0.006500000000000004,14250.480156856634,28506.96031371327,286.22542030663465,0.0034937499850377727,0.0034937497813778843
32,mixture,0.010000000000000007,14250.480156856638,28506.960313713276,286.2254211354185,0.00349375008273934,0.00349374976945243
16,mixture,0.006000000000000004,14250.480156856649,28506.960313713298,286.22542082726955,0.0034937499590383904,0.0034937497752438873
7,mixture,0.0037500000000000016,14250.48015685665,28506.9603137133,286.22542275043077,0.003493749868955619,0.0034937497524350435
20,mixture,0.0070000000000000045,14250.480156856656,28506.960313713313,286.22542374731034,0.0034937499561587294,0.003493749739184981
5,mixture,0.003250000000000001,14250.48015685666,28506.96031371332,286.22542332201954,0.0034937498456179745,0.0034937497455698628
8,mixture,0.004000000000000002,14250.480156856662,28506.960313713324,286.22542253727016,0.003493749882604246,0.003493749754963332
24,mixture,0.008000000000000005,14250.480156856665,28506.96031371333,286.22542263992136,0.0034937500061920845,0.0034937497521888797
22,mixture,0.007500000000000005,14250.480156856673,28506.960313713345,286.2254232018276,0.0034937499808522293,0.003493749745597708
27,mixture,0.008750000000000006,14250.480156856676,28506.960313713353,286.2254222053368,0.003493750027549336,0.003493749757159659
13,mixture,0.005250000000000003,14250.480156856676,28506.960313713353,286.22542148845275,0.0034937499313006408,0.0034937497674156657
25,mixture,0.008250000000000006,14250.480156856676,28506.960313713353,286.22542255237687,0.0034937500065729656,0.0034937497531991645
28,mixture,0.009000000000000006,14250.480156856676,28506.960313713353,286.22541838116,0.0034937500843527157,0.0034937498036785035
11,mixture,0.0047500000000000025,14250.48015685668,28506.96031371336,286.2254255048663,0.0034937498640070664,0.00349374971855969
21,mixture,0.007250000000000005,14250.480156856682,28506.960313713364,286.2254197909797,0.0034937500086982,0.0034937497873914324
29,mixture,0.009250000000000006,14250.480156856684,28506.960313713367,286.2254217113148,0.0034937500575887123,0.0034937497628292186
26,mixture,0.008500000000000006,14250.480156856687,28506.960313713374,286.22542256398026,0.0034937500200419454,0.003493749752876962
17,mixture,0.006250000000000004,14250.48015685669,28506.96031371338,286.22542073482214,0.0034937499653788177,0.0034937497762933096
6,mixture,0.0035000000000000014,14250.48015685669,28506.96031371338,286.22542658052674,0.0034937498143514725,0.0034937497057406066
10,mixture,0.004500000000000002,14250.480156856698,28506.960313713396,286.22542224333466,0.0034937498978997905,0.003493749758434161
15,mixture,0.005750000000000003,14250.480156856698,28506.960313713396,286.22542097450804,0.0034937499541487517,0.0034937497735107502
23,mixture,0.007750000000000005,14250.480156856705,28506.96031371341,286.2254229207436,0.0034937499923462976,0.0034937497489064494
4,mixture,0.003000000000000001,14250.480156856713,28506.960313713425,286.22542712391584,0.0034937497940010806,0.0034937496992035887
9,mixture,0.004250000000000002,14250.480156856718,28506.960313713436,286.2254260290136,0.0034937498430485984,0.003493749712296978
14,mixture,0.005500000000000003,14250.480156856735,28506.96031371347,286.2254250899205,0.003493749896109567,0.003493749723365419
12,mixture,0.005000000000000003,14250.480156856736,28506.960313713473,286.22542547776743,0.003493749871497235,0.0034937497188179444
