model,w1,NLL,AIC,BIC,mean,phi1,phi2,bootstrap
mixture,0.005250000000000003,6458679.836067389,12917365.672134778,12917400.89776881,20.86202411697227,0.0013520509851966676,0.05858695927168455,boot_1
mixture,0.005500000000000003,6458694.255465932,12917394.510931864,12917429.736565897,21.48405439747458,0.0013509774079485703,0.057112738820658183,boot_1
mixture,0.005000000000000003,6458698.219283127,12917402.438566254,12917437.664200287,20.229768718159015,0.0013532270239774511,0.06017575969637736,boot_1
mixture,0.005750000000000003,6458737.402559751,12917480.805119501,12917516.030753534,22.096235146547617,0.0013500041593535672,0.05574091005160854,boot_1
mixture,0.0047500000000000025,6458754.2713135,12917514.542627,12917549.768261032,19.58690037116321,0.0013545035921458206,0.06189334654508851,boot_1
mixture,0.006000000000000004,6458805.836151798,12917617.672303597,12917652.89793763,22.69883756379793,0.001349134338294012,0.05446115369337264,boot_1
mixture,0.004500000000000002,6458853.855520353,12917713.711040705,12917748.936674738,18.932658298193054,0.0013558906478041179,0.06375767463304716,boot_1
mixture,0.006250000000000004,6458896.627149221,12917799.254298441,12917834.479932474,23.292544445697068,0.0013483487642444209,0.05326349034697486,boot_1
mixture,0.004250000000000002,6459004.104291729,12918014.208583457,12918049.43421749,18.26678193315912,0.0013573734790417796,0.0657880173424053,boot_1
mixture,0.006500000000000004,6459007.263793948,12918020.527587896,12918055.75322193,23.877352877278778,0.0013476599845258723,0.05214079602348821,boot_1
mixture,0.006750000000000004,6459135.5773473345,12918277.154694669,12918312.380328702,24.45355343164701,0.00134706431218946,0.051086125177527565,boot_1
mixture,0.004000000000000002,6459213.7816711655,12918433.563342331,12918468.788976364,17.588209888645274,0.0013589703163768337,0.06801046557932533,boot_1
mixture,0.0070000000000000045,6459279.683258424,12918565.366516847,12918600.59215088,25.021833638026894,0.001346541917737394,0.050092486289418404,boot_1
mixture,0.007250000000000005,6459437.934227061,12918881.868454123,12918917.094088156,25.582142577736157,0.001346107465445086,0.04915518265060708,boot_1
mixture,0.0037500000000000016,6459493.7735275645,12918993.547055129,12919028.772689162,16.89632147796445,0.0013606675213753596,0.07045455208783859,boot_1
mixture,0.007500000000000005,6459608.882581992,12919223.765163984,12919258.990798017,26.134873548271596,0.0013457382012871937,0.04826929838584101,boot_1
mixture,0.007750000000000005,6459791.249744565,12919588.49948913,12919623.725123163,26.68020730635387,0.0013454472658135938,0.04743059536714399,boot_1
mixture,0.0035000000000000014,6459857.758903717,12919721.517807433,12919756.743441466,16.189925721264444,0.0013624801225098429,0.07315865803540376,boot_1
mixture,0.008000000000000005,6459983.901424709,12919973.802849418,12920009.02848345,27.218718004194525,0.0013452144838591665,0.04663470660484249,boot_1
mixture,0.008250000000000006,6460185.8271665685,12920377.654333137,12920412.87996717,27.75032143082099,0.0013450465197561111,0.04587887096173925,boot_1
mixture,0.003250000000000001,6460323.144771296,12920652.289542591,12920687.515176624,15.467428994168994,0.0013644251399947396,0.07617225332439491,boot_1
mixture,0.008500000000000006,6460396.123503028,12920798.247006057,12920833.47264009,28.2753433013208,0.0013449370217365152,0.04515984651192964,boot_1
mixture,0.008750000000000006,6460613.979889394,12921233.959778788,12921269.18541282,28.79424982015805,0.0013448769729938034,0.04447444853997352,boot_1
mixture,0.009000000000000006,6460838.6669108225,12921683.333821645,12921718.559455678,29.30702078385156,0.0013448674073528203,0.043820645108588845,boot_1
mixture,0.003000000000000001,6460912.391258592,12921830.782517184,12921866.008151216,14.727315407253363,0.0013665013892720772,0.07955679312685138,boot_1
mixture,0.009250000000000006,6461069.526346778,12922145.052693555,12922180.278327588,29.81396458543239,0.001344903330707555,0.0431960087764297,boot_1
mixture,0.009500000000000007,6461305.96272958,12922617.92545916,12922653.151093192,30.31536557821544,0.00134497627405505,0.042598405625795664,boot_1
mixture,0.009750000000000007,6461547.436099066,12923100.872198133,12923136.097832166,30.811234740988674,0.0013450923905951276,0.04202623620612633,boot_1
mixture,0.0027500000000000007,6461654.930332853,12923315.860665707,12923351.08629974,13.966791313074982,0.0013687775400429085,0.0833981498912326,boot_1
mixture,0.010000000000000007,6461793.455835092,12923592.911670184,12923628.137304217,31.301908406973574,0.0013452498751027732,0.041477529860247594,boot_1
mixture,0.0025000000000000005,6462590.012084734,12925186.024169467,12925221.2498035,13.18279770827378,0.0013713069771665685,0.08781026754412817,boot_1
mixture,0.0022500000000000003,6463771.04674524,12927548.09349048,12927583.319124512,12.370971307216315,0.001374209313639825,0.09295519222471027,boot_1
mixture,0.002,6465272.450295617,12930550.900591234,12930586.126225267,11.525817668754273,0.0013776529119089072,0.09906618510367586,boot_1
mixture,0.05,6498813.8163793525,12997633.632758705,12997668.858392738,85.20277614786778,0.0014167699016646995,0.019033792496989298,boot_1
mixture,0.1,6525914.767641445,13051835.53528289,13051870.760916922,131.9920162846941,0.0014818323392713519,0.013951758255065368,boot_1
mixture,0.15000000000000002,6543990.1405211,13087986.2810422,13088021.506676232,170.12011452151253,0.0015332963997835526,0.011757924340945386,boot_1
mixture,0.2,6557575.504466529,13115157.008933058,13115192.23456709,203.00285706156563,0.0015775312661798887,0.010495590562873205,boot_1
mixture,0.25,6568452.084448278,13136910.168896556,13136945.394530589,232.25086729647052,0.0016165703214082623,0.009664640110857558,boot_1
mixture,0.3,6577506.081582251,13155018.163164502,13155053.388798535,258.81992032904725,0.0016514865324667098,0.009071423637903982,boot_1
mixture,0.35000000000000003,6585245.507140506,13170497.014281012,13170532.239915045,283.3456814368003,0.0016829587018351803,0.008623136431822309,boot_1
mixture,0.4,6591990.196390774,13183986.392781548,13184021.618415581,306.2584691676586,0.001711527286258008,0.008270263611281779,boot_1
mixture,0.45,6597955.30456508,13195916.60913016,13195951.834764194,327.86523508083144,0.0017376367674155472,0.007983416052169784,boot_1
mixture,0.5,6603292.859282318,13206591.718564635,13206626.944198668,348.3784143788639,0.0017616482926240123,0.007745535491357582,boot_1
null,,6637772.148380327,13275546.296760654,13275558.038638664,518.0704441396684,0.0019302394323240074,,boot_1
sum,,6675551.227311445,13351104.45462289,13351116.196500901,737.7828318267213,0.0027108248033477257,,boot_1
mixture,0.005250000000000003,6455049.425359732,12910104.850719463,12910140.076353496,20.829296613997144,0.001358932379334795,0.05863207444448249,boot_2
mixture,0.005500000000000003,6455063.893482227,12910133.786964454,12910169.012598487,21.448062071822218,0.001357936929972186,0.05716239877084204,boot_2
mixture,0.005000000000000003,6455068.225162561,12910142.450325122,12910177.675959155,20.200487101759176,0.0013600161592278585,0.060215224841563705,boot_2
mixture,0.005750000000000003,6455107.479620434,12910220.959240869,12910256.184874902,22.056891759261198,0.0013570420044742295,0.055794882037138886,boot_2
mixture,0.0047500000000000025,6455125.2462984575,12910256.492596915,12910291.718230948,19.560801526083452,0.0013612063524211086,0.061927355585154276,boot_2
mixture,0.006000000000000004,6455176.678243653,12910359.356487306,12910394.582121339,22.65638577359717,0.0013562379145984787,0.05451838018692891,boot_2
mixture,0.004500000000000002,6455226.453420946,12910458.906841893,12910494.132475926,18.909825632563724,0.0013625010381044741,0.06378517085609393,boot_2
mixture,0.006250000000000004,6455268.505132666,12910543.010265332,12910578.235899365,23.246672121509544,0.0013555289384624086,0.053324423376676214,boot_2
mixture,0.004250000000000002,6455379.096250613,12910764.192501226,12910799.41813526,18.246952366177524,0.0013638975892287727,0.06580911532387972,boot_2
mixture,0.006500000000000004,6455380.401451465,12910766.80290293,12910802.028536962,23.828300719981733,0.0013548996406653724,0.05220457962616687,boot_2
mixture,0.006750000000000004,6455510.158226688,12911026.316453377,12911061.54208741,24.40139342173508,0.001354369129338531,0.05115224999559805,boot_2
mixture,0.004000000000000002,6455592.074533687,12911190.149067374,12911225.374701407,17.571441179630558,0.0013653917176239998,0.06802405641871151,boot_2
mixture,0.0070000000000000045,6455655.856709518,12911317.713419035,12911352.939053068,24.96649870281202,0.0013539046530601196,0.05016097084610663,boot_2
mixture,0.007250000000000005,6455815.820493282,12911637.640986564,12911672.866620596,25.523710186599295,0.0013535224516168175,0.049225688117900415,boot_2
mixture,0.0037500000000000016,6455876.43048372,12911758.86096744,12911794.086601473,16.882303270285046,0.00136700320553692,0.07046075540378031,boot_2
mixture,0.007500000000000005,6455988.577228815,12911983.15445763,12912018.380091663,26.07349442067784,0.0013532038864459283,0.04834131483529276,boot_2
mixture,0.007750000000000005,6456172.827441406,12912351.654882813,12912386.880516846,26.615965625298124,0.0013529591458219944,0.04750384963358697,boot_2
mixture,0.0035000000000000014,6456246.02263722,12912498.04527444,12912533.270908473,16.1784496235179,0.0013687264085714928,0.07315733132310427,boot_2
mixture,0.008000000000000005,6456367.419192335,12912740.83838467,12912776.064018702,27.151473812124713,0.0013527700040356903,0.04670942874120608,boot_2
mixture,0.008250000000000006,6456571.327145778,12913148.654291555,12913183.879925588,27.680356206034283,0.0013526412796398771,0.04595439566604205,boot_2
mixture,0.003250000000000001,6456718.462503916,12913442.925007831,12913478.150641864,15.458306113825092,0.0013705846834902195,0.07616304620000186,boot_2
mixture,0.008500000000000006,6456783.635324363,12913573.270648725,12913608.496282758,28.202633519336423,0.0013525691278656554,0.045236179368434735,boot_2
mixture,0.008750000000000006,6457003.522690316,12914013.045380631,12914048.271014664,28.71891243282965,0.0013525428417084534,0.0445513298233429,boot_2
mixture,0.009000000000000006,6457230.251054973,12914466.502109947,12914501.72774398,29.22908417751649,0.0013525650283995802,0.043898000138084786,boot_2
mixture,0.003000000000000001,6457316.440671098,12914638.881342197,12914674.10697623,14.719908672079255,0.0013726116852617082,0.0795417744458787,boot_2
mixture,0.009250000000000006,6457463.15488803,12914932.30977606,12914967.535410093,29.733533568278826,0.0013526295590428777,0.0432736368369426,boot_2
mixture,0.009500000000000007,6457701.632645005,12915409.26529001,12915444.490924044,30.23238941222899,0.0013527323007506097,0.04267636877494985,boot_2
mixture,0.009750000000000007,6457945.139358178,12915896.278716356,12915931.504350388,30.725852070238385,0.0013528755098078044,0.04210429097694341,boot_2
mixture,0.0027500000000000007,6458069.643821334,12916145.287642667,12916180.5132767,13.960992408993116,0.0013748225512211743,0.08337698820361518,boot_2
mixture,0.010000000000000007,6458193.180300982,12916392.360601963,12916427.586235996,31.214122052309698,0.0013530533620396917,0.04155572802090588,boot_2
mixture,0.0025000000000000005,6459017.593722695,12918041.18744539,12918076.413079422,13.178028965316209,0.0013773218850030586,0.0877855940091309,boot_2
mixture,0.0022500000000000003,6460213.971705536,12920433.943411073,12920469.169045106,12.366696144370382,0.0013802253231576767,0.09293041880058442,boot_2
mixture,0.002,6461733.426682907,12923472.853365814,12923508.078999847,11.521097869731676,0.0013837345825734547,0.09904985602830026,boot_2
mixture,0.05,6495363.062148501,12990732.124297002,12990767.349931035,84.87872926726973,0.0014252341021196307,0.019077541311653515,boot_2
mixture,0.1,6522531.517445475,13045069.03489095,13045104.260524983,131.43963200095993,0.0014905652959754825,0.013985798598140357,boot_2
mixture,0.15000000000000002,6540646.845433357,13081299.690866714,13081334.916500747,169.36379355633107,0.0015422426070390582,0.011788718760770405,boot_2
