model,w1,NLL,AIC,BIC,mean,phi1,phi2,bootstrap
mixture,0.005250000000000003,6454565.659550631,12909137.319101263,12909172.544735296,20.816041778967417,0.0013606923323256114,0.05866062656080755,boot_1
mixture,0.005500000000000003,6454578.518752421,12909163.037504843,12909198.263138875,21.433243439775666,0.001359743458974179,0.0571934236571885,boot_1
mixture,0.005000000000000003,6454586.334308454,12909178.668616908,12909213.89425094,20.188549011043925,0.0013617444300774834,0.060241736791609025,boot_1
mixture,0.005750000000000003,6454620.732973099,12909247.465946198,12909282.69158023,22.040712701067715,0.001358874367734107,0.055827669525813764,boot_1
mixture,0.0047500000000000025,6454645.531038591,12909297.062077181,12909332.287711214,19.550216284816432,0.0013629027088442865,0.06195141692638338,boot_1
mixture,0.006000000000000004,6454688.771830329,12909383.543660657,12909418.76929469,22.638615937301118,0.0013581076915954143,0.05455332530815351,boot_1
mixture,0.004500000000000002,6454749.256506447,12909504.513012893,12909539.738646926,18.90061892804904,0.001364150860878591,0.063806480381901,boot_1
mixture,0.006250000000000004,6454779.629547742,12909565.259095484,12909600.484729517,23.22733734377208,0.0013574343236384297,0.05336125420577216,boot_1
mixture,0.006500000000000004,6454890.728333002,12909787.456666004,12909822.682300037,23.807358079690573,0.0013568453263060978,0.052243185799908484,boot_1
mixture,0.004250000000000002,6454904.812880281,12909815.625760563,12909850.851394596,18.239004359476443,0.0013655190814121723,0.06582759563585427,boot_1
mixture,0.006750000000000004,6455019.842447029,12910045.684894059,12910080.910528092,24.378885288286284,0.0013563414166681196,0.051192484123346954,boot_1
mixture,0.004000000000000002,6455121.166926757,12910248.333853515,12910283.559487548,17.564690121017776,0.0013669777304666111,0.06803963328090079,boot_1
mixture,0.0070000000000000045,6455165.038100655,12910336.07620131,12910371.301835343,24.9422718604487,0.0013559154500020294,0.050202965397533605,boot_1
mixture,0.007250000000000005,6455324.625447588,12910655.250895176,12910690.476529209,25.497802005786586,0.0013555671650473807,0.04926924404383245,boot_1
mixture,0.0037500000000000016,6455409.44864572,12910824.89729144,12910860.122925473,16.877007161301794,0.0013685316569330545,0.07047188172854593,boot_1
mixture,0.007500000000000005,6455497.120008271,12911000.240016542,12911035.465650575,26.045807472458304,0.001355285441010793,0.048386504173813356,boot_1
mixture,0.007750000000000005,6455681.211368963,12911368.422737926,12911403.64837196,26.586636368809476,0.0013550692805726504,0.04755031056004014,boot_1
mixture,0.0035000000000000014,6455783.634168164,12911573.268336328,12911608.49397036,16.17442507691163,0.0013702101874722397,0.07316407486792341,boot_1
mixture,0.008000000000000005,6455875.737667298,12911757.475334596,12911792.700968629,27.120417996558295,0.0013549164461529864,0.04675717571131379,boot_1
mixture,0.008250000000000006,6456079.664602147,12912165.329204295,12912200.554838328,27.647476928363574,0.0013548209793871095,0.04600356570483644,boot_1
mixture,0.003250000000000001,6456261.496025888,12912528.992051776,12912564.21768581,15.455663922466176,0.0013720133084690071,0.0761640535994782,boot_1
mixture,0.008500000000000006,6456292.068047321,12912590.136094643,12912625.361728676,28.16798344285266,0.0013547808857767199,0.04528657396566538,boot_1
mixture,0.008750000000000006,6456512.119571157,12913030.239142314,12913065.464776346,28.682457669006833,0.001354786474691831,0.04460293199669779,boot_1
mixture,0.009000000000000006,6456739.074266229,12913484.148532458,12913519.37416649,29.190834167358247,0.001354839475324873,0.043950720454058005,boot_1
mixture,0.003000000000000001,6456865.949246681,12913737.898493363,12913773.124127395,14.718778685745662,0.0013739666325609367,0.07953526802810662,boot_1
mixture,0.009250000000000006,6456972.260493818,12913950.520987635,12913985.746621668,29.693492094775745,0.0013549339178153756,0.04332740306136201,boot_1
mixture,0.009500000000000007,6457211.071152435,12914428.14230487,12914463.367938902,30.19047182185584,0.0013550665708868138,0.042731270382746274,boot_1
mixture,0.009750000000000007,6457454.95621252,12914915.91242504,12914951.138059072,30.682176624644256,0.0013552398201910926,0.042160045313348465,boot_1
mixture,0.0027500000000000007,6457626.998168895,12915259.99633779,12915295.221971823,13.961310097656026,0.0013761113619400328,0.08336171742627686,boot_1
