model,w1,NLL,AIC,BIC,mean,phi1,phi2,bootstrap
mixture,0.005250000000000003,7074577.940420202,14149161.880840404,14149197.287943102,21.81219027476229,0.0012544682790847806,0.056432831614400325,boot_1
mixture,0.005000000000000003,7074589.099114867,14149184.198229734,14149219.605332432,21.150610154855006,0.001255351790588407,0.057957801668396904,boot_1
mixture,0.005500000000000003,7074599.977975264,14149205.955950528,14149241.363053227,22.463080158629214,0.0012536631856777689,0.05501789510446939,boot_1
mixture,0.0047500000000000025,7074638.339775501,14149282.679551002,14149318.0866537,20.477889854567692,0.001256310106964944,0.059606600996818804,boot_1
mixture,0.005750000000000003,7074651.115630283,14149308.231260566,14149343.638363265,23.103738377146044,0.001252931080716019,0.0537011545402752,boot_1
mixture,0.006000000000000004,7074727.888737945,14149461.77747589,14149497.184578588,23.734614725137153,0.0012522692753357074,0.05247234222152384,boot_1
mixture,0.004500000000000002,7074731.545304358,14149469.090608716,14149504.497711414,19.793384773420676,0.0012573457732450296,0.061395978645324194,boot_1
mixture,0.006250000000000004,7074827.342715424,14149660.685430847,14149696.092533546,24.35613678513603,0.0012516752400214552,0.05132256301297499,boot_1
mixture,0.004250000000000002,7074875.871491099,14149757.742982198,14149793.150084896,19.096482868316734,0.001258458517134531,0.06334555341605043,boot_1
mixture,0.006500000000000004,7074946.938857421,14149899.877714843,14149935.284817541,24.968601153699915,0.001251144672064958,0.050244372665531764,boot_1
mixture,0.004000000000000002,7075080.11703947,14150166.23407894,14150201.641181638,18.386464488627386,0.0012596552114778102,0.06547896255615708,boot_1
mixture,0.006750000000000004,7075084.480621068,14150174.961242136,14150210.368344834,25.572416660324894,0.0012506761792106724,0.049230902096184415,boot_1
mixture,0.0070000000000000045,7075238.055441807,14150482.110883614,14150517.517986313,26.16825171788202,0.00125025834708037,0.04827557301718862,boot_1
mixture,0.0037500000000000016,7075355.226589603,14150716.453179207,14150751.860281905,17.662417772365515,0.0012609342024883577,0.06782548196176556,boot_1
mixture,0.007250000000000005,7075405.988378123,14150817.976756247,14150853.383858945,26.755994462193883,0.00124989620476127,0.04737416873986908,boot_1
mixture,0.007500000000000005,7075586.804908346,14151179.609816693,14151215.016919391,27.336103411211113,0.0012495904881843843,0.046521684700339606,boot_1
mixture,0.0035000000000000014,7075714.983848499,14151435.967696998,14151471.374799697,16.923252169745215,0.0012622964492522864,0.07042140102593736,boot_1
mixture,0.007750000000000005,7075779.200814134,14151564.401628269,14151599.808730967,27.90887760796966,0.0012493231061176263,0.045714181155756414,boot_1
mixture,0.008000000000000005,7075982.017534128,14151970.035068257,14152005.442170955,28.474930357123455,0.001249094905620313,0.044947296520879296,boot_1
mixture,0.003250000000000001,7076176.9821510175,14152359.964302035,14152395.371404734,16.16761068336083,0.001263742737284308,0.07331262510939389,boot_1
mixture,0.008250000000000006,7076194.221919207,14152394.443838414,14152429.850941112,29.034041001270527,0.0012489173366775738,0.044218649387026875,boot_1
mixture,0.008500000000000006,7076414.889495527,14152835.778991055,14152871.186093753,29.587009899629663,0.0012487617973134346,0.04352451104593303,boot_1
mixture,0.008750000000000006,7076643.190343852,14153292.380687704,14153327.787790403,30.133700222010347,0.0012486464361021277,0.04286280365552944,boot_1
mixture,0.003000000000000001,7076764.008469435,14153534.01693887,14153569.42404157,15.393679066069428,0.0012652871148161012,0.07655876737369803,boot_1
mixture,0.009000000000000006,7076878.377372957,14153762.754745914,14153798.161848612,30.67445776767053,0.001248562445467276,0.042231011189544976,boot_1
mixture,0.009250000000000006,7077119.776290178,14154245.552580357,14154280.959683055,31.209496425404065,0.0012485083216503144,0.04162700540041655,boot_1
mixture,0.009500000000000007,7077366.777093025,14154739.55418605,14154774.961288748,31.738929290972578,0.001248485798581892,0.04104897766726189,boot_1
mixture,0.0027500000000000007,7077506.05939462,14155018.11878924,14155053.52589194,14.599253162022128,0.0012669408314887446,0.08023786715557112,boot_1
mixture,0.009750000000000007,7077618.826786138,14155243.653572276,14155279.060674975,32.263493291252566,0.0012484722680485378,0.04049448279579835,boot_1
mixture,0.010000000000000007,7077875.423022362,14155756.846044725,14155792.253147423,32.78279535543557,0.0012484921788839495,0.03996264720302284,boot_1
mixture,0.0025000000000000005,7078443.350818465,14156892.70163693,14156928.10873963,13.781034146547054,0.001268749486177328,0.08445810074701345,boot_1
mixture,0.0022500000000000003,7079630.943183727,14159267.886367453,14159303.293470152,12.935290744041787,0.00127074281657695,0.08936670295063197,boot_1
mixture,0.002,7081146.095429811,14162298.190859621,14162333.59796232,12.056032942598005,0.0012730521809526892,0.09518354630995858,boot_1
mixture,0.05,7116010.424864122,14232026.849728243,14232062.256830942,92.31065180287655,0.0012825979646806942,0.017814523685284116,boot_1
mixture,0.1,7149270.223941527,14298546.447883055,14298581.854985753,136.48613591442933,0.0012754901091748345,0.01549456034851299,boot_1
mixture,0.15000000000000002,7162994.08199948,14325994.16399896,14326029.571101658,192.2671648897653,0.0013480312362147105,0.010494633180119083,boot_1
mixture,0.2,7177453.425607542,14354912.851215083,14354948.258317782,231.75348871283165,0.0013770949041623712,0.009246393947513941,boot_1
mixture,0.25,7189191.349945684,14378388.699891368,14378424.106994066,266.8773980040262,0.0014044335665440906,0.008439322773055312,boot_1
mixture,0.3,7199081.908851814,14398169.817703629,14398205.224806327,298.7441040191905,0.0014298392846288084,0.007871331739121646,boot_1
mixture,0.35000000000000003,7207625.716710029,14415257.433420058,14415292.840522757,328.09559530497535,0.0014533690421219697,0.007447652378845411,boot_1
mixture,0.4,7215139.436301078,14430284.872602155,14430320.279704854,355.45709493548605,0.001475145576056928,0.007117655850852351,boot_1
mixture,0.45,7221837.69094145,14443681.3818829,14443716.788985599,381.2107981379841,0.0014953148831751816,0.006851803314623883,boot_1
mixture,0.5,7227873.43338318,14455752.86676636,14455788.273869058,405.630511317873,0.0015140517457911075,0.0066321082922996075,boot_1
null,,7267820.610752173,14535643.221504346,14535655.023871912,606.1726589220877,0.0016496949924766095,,boot_1
sum,,7314755.231198177,14629512.462396353,14629524.26476392,872.3784712459881,0.0022925829395393825,,boot_1
mixture,0.005250000000000003,7073309.157954845,14146624.31590969,14146659.723012388,21.900085599442242,0.0012520987219719856,0.05617794942589505,boot_2
mixture,0.005000000000000003,7073323.241468381,14146652.482936762,14146687.89003946,21.235969984827353,0.0012529897697671063,0.057696162363931235,boot_2
mixture,0.005500000000000003,7073328.7187981475,14146663.437596295,14146698.844698993,22.553192758818813,0.0012512944290629627,0.05477001857382574,boot_2
mixture,0.0047500000000000025,7073375.899231815,14146757.79846363,14146793.205566328,20.560719820096878,0.0012539505360472988,0.05933752452637493,boot_2
mixture,0.005750000000000003,7073377.787338792,14146761.574677585,14146796.981780283,23.196074163063063,0.0012505622544575626,0.053459640344781345,boot_2
