model,w1,NLL,AIC,BIC,mean,phi1,phi2,bootstrap
mixture,0.005250000000000003,7074055.680874974,14148117.361749947,14148152.768852646,21.84791023602032,0.0012532398484299881,0.05633178944632754,boot_1
mixture,0.005000000000000003,7074064.631792169,14148135.263584338,14148170.670687037,21.1837231342117,0.0012541620004459285,0.0578589378397064,boot_1
mixture,0.005500000000000003,7074079.619479618,14148165.238959236,14148200.646061935,22.501239733930113,0.0012523859116233252,0.05491555771522451,boot_1
mixture,0.0047500000000000025,7074111.283732479,14148228.567464959,14148263.974567657,20.508411858347312,0.0012551684325267606,0.059510073981916496,boot_1
mixture,0.005750000000000003,7074132.41092283,14148270.82184566,14148306.228948358,23.14422025574694,0.0012516143947247792,0.05359793904111051,boot_1
mixture,0.004500000000000002,7074201.426633181,14148408.853266362,14148444.26036906,19.821180258201366,0.001256260542917169,0.06130257999961985,boot_1
mixture,0.006000000000000004,7074210.638208433,14148427.276416866,14148462.683519565,23.777359942886015,0.001250919178079256,0.05236846941664351,boot_1
mixture,0.006250000000000004,7074311.385039013,14148628.770078026,14148664.177180724,24.401035969609822,0.00125029459408448,0.05121838139203263,boot_1
mixture,0.004250000000000002,7074342.099620797,14148690.199241593,14148725.606344292,19.121474811010913,0.0012574337652184737,0.06325605872884481,boot_1
mixture,0.006500000000000004,7074432.143497431,14148870.286994861,14148905.69409756,25.01562294825412,0.0012497374113217298,0.050139972154755484,boot_1
mixture,0.004000000000000002,7074541.954409879,14149089.908819757,14149125.315922456,18.408557164962687,0.001258700094100084,0.06539434200143644,boot_1
mixture,0.006750000000000004,7074570.74184037,14149147.48368074,14149182.890783438,25.62145988457335,0.0012492445110147848,0.04912654365929195,boot_1
mixture,0.0070000000000000045,7074725.2875010315,14149456.575002063,14149491.982104762,26.21925015079836,0.0012488034887469402,0.04817141538949137,boot_1
mixture,0.0037500000000000016,7074811.749666551,14149629.499333102,14149664.9064358,17.681540727025638,0.0012600556101543467,0.06774684618592693,boot_1
mixture,0.007250000000000005,7074894.121679291,14149794.243358582,14149829.65046128,26.808876853793453,0.0012484227291198568,0.047270322615878095,boot_1
mixture,0.007500000000000005,7075075.782925688,14150157.565851375,14150192.972954074,27.390871854771653,0.0012480922960601457,0.04641819683080624,boot_1
