model,w1,NLL,AIC,BIC,mean,phi1,phi2,bootstrap
mixture,0.005250000000000003,7073126.364717939,14146258.729435878,14146294.136538576,21.93573192775532,0.0012507429040857652,0.056079450458747224,boot_1
mixture,0.005000000000000003,7073135.9413636625,14146277.882727325,14146313.289830023,21.271714024248848,0.0012515957658151653,0.05759163709589244,boot_1
mixture,0.005500000000000003,7073150.533482577,14146307.066965153,14146342.474067852,22.58875283631827,0.0012499727920006957,0.05467693390478866,boot_1
mixture,0.0047500000000000025,7073184.198131687,14146374.396263374,14146409.803366072,20.596361213893235,0.0012525203023088698,0.059226943277988844,boot_1
mixture,0.005750000000000003,7073204.302310754,14146414.604621507,14146450.011724206,23.23121027390552,0.001249283212972721,0.053372317224084274,boot_1
mixture,0.004500000000000002,7073277.064970044,14146560.129940089,14146595.537042787,19.908773738687287,0.0012535345865285266,0.061002794098715195,boot_1
mixture,0.006000000000000004,7073284.158461833,14146574.316923667,14146609.724026365,23.863695005363198,0.0012486637901836203,0.05215504633381785,boot_1
mixture,0.006250000000000004,7073387.101184153,14146780.202368306,14146815.609471004,24.486568354703817,0.0012481147114032452,0.05101643787997639,boot_1
mixture,0.004250000000000002,7073421.740341304,14146849.480682608,14146884.887785306,19.208399283928703,0.0012546376420576272,0.06293863057323242,boot_1
mixture,0.006500000000000004,7073510.548127304,14147027.096254608,14147062.503357306,25.100241801746925,0.0012476312852720012,0.049948796223923855,boot_1
mixture,0.004000000000000002,7073627.057938791,14147260.115877582,14147295.52298028,18.49446988272293,0.0012558308422183982,0.06505837685370734,boot_1
mixture,0.006750000000000004,7073652.2619640725,14147310.523928145,14147345.931030843,25.70507032993325,0.001247210296485586,0.048945468816209675,boot_1
mixture,0.0070000000000000045,7073810.292369713,14147626.584739426,14147661.991842125,26.301801376598526,0.0012468386586323276,0.04799976181056829,boot_1
mixture,0.0037500000000000016,7073903.985029972,14147813.970059944,14147849.377162643,17.76610896187054,0.001257114628419952,0.06739119987421155,boot_1
mixture,0.007250000000000005,7073982.929708039,14147971.859416079,14148007.266518777,26.890311516242512,0.001246524503566338,0.047107497065665326,boot_1
mixture,0.007500000000000005,7074168.667794328,14148343.335588656,14148378.742691355,27.471124888566713,0.0012462600518406038,0.04626366859407048,boot_1
mixture,0.0035000000000000014,7074266.309022898,14148538.618045796,14148574.025148494,17.022076213031447,0.0012584980634048465,0.06997410055855321,boot_1
mixture,0.007750000000000005,7074366.173634495,14148738.34726899,14148773.754371688,28.044617267062023,0.0012460391275288018,0.045464107319497286,boot_1
mixture,0.008000000000000005,7074574.2626478085,14149154.525295617,14149189.932398316,28.610884334661975,0.0012458638898165697,0.0447055530234739,boot_1
mixture,0.003250000000000001,7074731.598418163,14149469.196836326,14149504.603939025,16.26110613834935,0.001259981689415229,0.0728527697276726,boot_1
mixture,0.008250000000000006,7074791.878275013,14149589.756550025,14149625.163652724,29.17070255931572,0.0012457202589681354,0.04398389095013983,boot_1
mixture,0.008500000000000006,7075018.07494723,14150042.14989446,14150077.556997158,29.72388880540287,0.0012456154433315143,0.04329703236223322,boot_1
mixture,0.008750000000000006,7075252.003898347,14150510.007796694,14150545.414899392,30.27078907848822,0.0012455501672388918,0.04264214656605987,boot_1
mixture,0.003000000000000001,7075322.571987434,14150651.143974869,14150686.551077567,15.481288712952146,0.0012615841646280114,0.07608755164939493,boot_1
mixture,0.009000000000000006,7075492.901182987,14150991.802365974,14151027.209468672,30.81180511193812,0.001245502813240481,0.04201679285533161,boot_1
mixture,0.009250000000000006,7075740.077450915,14151486.15490183,14151521.562004529,31.347190513382106,0.0012454860744340636,0.041418671585275096,boot_1
mixture,0.009500000000000007,7075992.90929457,14151991.81858914,14152027.225691838,31.877007708132467,0.001245495483095252,0.04084616731407469,boot_1
mixture,0.0027500000000000007,7076069.091032313,14152144.182064626,14152179.589167325,14.680536416935936,0.0012633105454218974,0.07975628909982493,boot_1
mixture,0.009750000000000007,7076250.831777465,14152507.66355493,14152543.070657628,32.40151626138017,0.0012455292507755913,0.04029744433855401,boot_1
mixture,0.010000000000000007,7076513.332003689,14153032.664007379,14153068.071110077,32.921072198166385,0.001245579904986774,0.03977072266051801,boot_1
