model,w1,NLL,AIC,BIC,mean,phi1,phi2,bootstrap
mixture,0.005250000000000003,7074840.969926208,14149687.939852417,14149723.346955115,21.905379919314413,0.0012503421255937695,0.05617984144463008,boot_1
mixture,0.005000000000000003,7074853.65012102,14149713.30024204,14149748.707344739,21.24250731371394,0.0012511827617764603,0.057693572489959585,boot_1
mixture,0.005500000000000003,7074862.129296512,14149730.258593025,14149765.665695723,22.557286124772354,0.0012495853683433388,0.0547758054352741,boot_1
mixture,0.0047500000000000025,7074905.1273777075,14149816.254755415,14149851.661858113,20.56833827198589,0.0012520973925489681,0.059330407254300825,boot_1
mixture,0.005750000000000003,7074912.964995752,14149831.929991504,14149867.337094203,23.198834289950064,0.0012488956566885589,0.05346934518446458,boot_1
mixture,0.006000000000000004,7074989.950320851,14149985.900641702,14150021.3077444,23.830460690122226,0.001248279270984305,0.05225021824859821,boot_1
mixture,0.004500000000000002,7075001.360376091,14150008.720752181,14150044.12785488,19.88200515202549,0.0012530984719319282,0.061107709912747735,boot_1
mixture,0.006250000000000004,7075090.0737829385,14150186.147565877,14150221.554668576,24.45249819133764,0.0012477330976756742,0.05110985110369389,boot_1
mixture,0.004250000000000002,7075149.583528155,14150305.16705631,14150340.57415901,19.182961222784886,0.0012541860010066885,0.06304485944570065,boot_1
mixture,0.006500000000000004,7075210.744856326,14150427.489712652,14150462.89681535,25.065393852383057,0.001247251436975836,0.05004045889946628,boot_1
mixture,0.006750000000000004,7075349.720072104,14150705.440144207,14150740.847246906,25.669500571280814,0.001246831215189667,0.04903539460011969,boot_1
mixture,0.004000000000000002,7075358.675209258,14150723.350418516,14150758.757521214,18.47042064353927,0.0012553614641756796,0.0651658143336029,boot_1
mixture,0.0070000000000000045,7075505.044561929,14151016.089123858,14151051.496226557,26.265534481462886,0.0012464610799264866,0.048088016804712315,boot_1
mixture,0.0037500000000000016,7075639.657935354,14151285.315870708,14151320.722973406,17.74349808485435,0.0012566256899157282,0.06749974097158268,boot_1
mixture,0.007250000000000005,7075675.00540284,14151356.01080568,14151391.417908378,26.853427240750502,0.001246144861124749,0.04719406490868805,boot_1
mixture,0.007500000000000005,7075858.094067489,14151722.188134978,14151757.595237676,27.433657012697395,0.0012458789159618291,0.04634859385130827,boot_1
mixture,0.0035000000000000014,7076006.387210417,14152018.774420833,14152054.181523532,17.000960107762108,0.0012579872076509352,0.07008357633463737,boot_1
mixture,0.007750000000000005,7076052.975959968,14152111.951919936,14152147.359022634,28.006592561913095,0.0012456562783237427,0.045547452339244725,boot_1
mixture,0.008000000000000005,7076258.465447305,14152522.93089461,14152558.337997308,28.572519463870137,0.001245478091014586,0.044787002342334584,boot_1
mixture,0.008250000000000006,7076473.505315371,14152953.010630742,14152988.41773344,29.131552687434883,0.0012453342869294948,0.044064410738552745,boot_1
mixture,0.003250000000000001,7076476.515409992,14152959.030819984,14152994.437922683,16.24150434044509,0.0012594476776682216,0.07296313660473762,boot_1
mixture,0.008500000000000006,7076697.149645811,14153400.299291622,14153435.70639432,29.684387017530014,0.0012452258659686709,0.04337589843641082,boot_1
mixture,0.008750000000000006,7076928.549525744,14153863.099051489,14153898.506154187,30.23083075311448,0.0012451592957230656,0.04271963211143176,boot_1
mixture,0.003000000000000001,7077072.864933468,14154151.729866937,14154187.136969635,15.463217794753865,0.0012610257676148751,0.07619876143626995,boot_1
mixture,0.009000000000000006,7077166.9409932215,14154339.881986443,14154375.289089141,30.771542970255815,0.001245103694076476,0.042092781138385243,boot_1
mixture,0.009250000000000006,7077411.634766481,14154829.269532962,14154864.67663566,31.306229015787384,0.0012450946244196648,0.0414937763117916,boot_1
mixture,0.009500000000000007,7077662.007599761,14155330.015199522,14155365.42230222,31.835864282343085,0.0012450924408422678,0.04091976102338595,boot_1
mixture,0.0027500000000000007,7077825.426041794,14155656.852083588,14155692.259186286,14.664003757120968,0.001262726479037916,0.07986832405184842,boot_1
mixture,0.009750000000000007,7077917.494690555,14155840.98938111,14155876.396483809,32.36006315841986,0.0012451204091516272,0.040369766787514444,boot_1
mixture,0.010000000000000007,7078177.583291539,14156361.166583078,14156396.573685776,32.87918385038024,0.0012451702803042612,0.03984199429548709,boot_1
