model,w1,NLL,AIC,BIC,mean,phi1,phi2,bootstrap
mixture,0.005250000000000003,6457274.916381968,12914555.832763936,12914591.05839797,20.778057511006697,0.001358003986151823,0.05881887044947686,boot_1
mixture,0.005000000000000003,6457289.886947482,12914585.773894964,12914620.999528997,20.149178010213916,0.0013591458060665316,0.06041141629514231,boot_1
mixture,0.005500000000000003,6457292.563666458,12914591.127332916,12914626.35296695,21.39678214917243,0.0013569599539117378,0.05734102217967315,boot_1
mixture,0.005750000000000003,6457338.754664209,12914683.509328417,12914718.73496245,22.005851847440667,0.001356010809510227,0.05596529956877431,boot_1
mixture,0.0047500000000000025,6457342.342777788,12914690.685555575,12914725.911189608,19.509702688507545,0.001360386339006109,0.062133040817477204,boot_1
mixture,0.006000000000000004,6457410.050656715,12914826.10131343,12914861.326947464,22.605489370769078,0.0013551578296190133,0.05468160101079222,boot_1
mixture,0.004500000000000002,6457438.150757034,12914882.301514069,12914917.527148101,18.8591110085646,0.001361728743432133,0.06400082044246476,boot_1
mixture,0.006250000000000004,6457503.526403909,12915013.052807817,12915048.27844185,23.196201994045598,0.001354393858105063,0.05348034885114809,boot_1
mixture,0.004250000000000002,6457584.44926341,12915174.89852682,12915210.124160852,18.196808129793933,0.0013631700905966685,0.06603521590094111,boot_1
mixture,0.006500000000000004,6457616.675117471,12915239.350234943,12915274.575868975,23.778223759247624,0.0013537185015459745,0.052353856085761215,boot_1
mixture,0.006750000000000004,6457747.333845564,12915500.667691128,12915535.893325161,24.351803141500287,0.0013531300610519859,0.05129530881888201,boot_1
mixture,0.004000000000000002,6457790.010953556,12915586.021907112,12915621.247541144,17.521945890344966,0.0013647149744923333,0.06826158004831835,boot_1
mixture,0.0070000000000000045,6457893.624423658,12915793.248847315,12915828.474481348,24.91736391719563,0.0013526194015557665,0.05029829459211575,boot_1
mixture,0.007250000000000005,6458053.906341479,12916113.812682958,12916149.038316991,25.475092174374858,0.001352193713065005,0.04935755787211034,boot_1
mixture,0.0037500000000000016,6458065.732637243,12916137.465274487,12916172.69090852,16.83394012281586,0.0013663552196354907,0.07070912420809823,boot_1
mixture,0.007500000000000005,6458226.738961796,12916459.477923593,12916494.703557625,26.02553543799936,0.0013518273135850177,0.048467855334944396,boot_1
mixture,0.007750000000000005,6458410.85081358,12916827.70162716,12916862.927261192,26.568559046322594,0.0013515372469729335,0.04762568075834118,boot_1
mixture,0.0035000000000000014,6458425.306031425,12916856.61206285,12916891.837696882,16.131391713817635,0.0013681049222473676,0.07341722845996113,boot_1
mixture,0.008000000000000005,6458605.114712372,12917216.229424745,12917251.455058778,27.104702886943784,0.0013513069309205703,0.04682667101466435,boot_1
mixture,0.008250000000000006,6458808.527205859,12917623.054411719,12917658.280045751,27.634149498194304,0.0013511375978441087,0.046067518521157556,boot_1
mixture,0.003250000000000001,6458886.150825104,12917778.301650207,12917813.52728424,15.41282872116435,0.0013699817662573646,0.07643475117077042,boot_1
mixture,0.008500000000000006,6459020.191658027,12918046.383316053,12918081.608950086,28.15709804386683,0.0013510249099016615,0.045345244928680736,boot_1
mixture,0.008750000000000006,6459239.304138267,12918484.608276535,12918519.833910568,28.673961595984302,0.0013509619493179252,0.04465674401793039,boot_1
mixture,0.009000000000000006,6459465.141596415,12918936.28319283,12918971.508826863,29.1847593257188,0.001350948145419376,0.04399991345689563,boot_1
mixture,0.003000000000000001,6459470.736533333,12918947.473066665,12918982.698700698,14.676409283555236,0.0013720058537675225,0.07982494754727205,boot_1
mixture,0.009250000000000006,6459697.051902797,12919400.103805594,12919435.329439627,29.689837824211295,0.0013509778525538426,0.04337225265318906,boot_1
mixture,0.009500000000000007,6459934.4453828465,12919874.890765693,12919910.116399726,30.1893312798651,0.0013510467888147725,0.0427718646468897,boot_1
mixture,0.009750000000000007,6460176.7875845,12920359.575169,12920394.800803034,30.68340076202014,0.0013511596306277245,0.04219687611325895,boot_1
mixture,0.0027500000000000007,6460208.494314015,12920422.98862803,12920458.214262063,13.919674356983322,0.0013742179537518284,0.08367218795031114,boot_1
mixture,0.010000000000000007,6460423.593120556,12920853.186241113,12920888.411875146,31.172348118229333,0.0013513046900450955,0.04164547130904605,boot_1
mixture,0.0025000000000000005,6461138.648925038,12922283.297850076,12922318.523484109,13.139341345008479,0.001376691172160554,0.08809196999853335,boot_1
mixture,0.0022500000000000003,6462314.53060097,12924635.06120194,12924670.286835972,12.330989222219218,0.0013795486212691687,0.09324748078050439,boot_1
mixture,0.002,6463810.353539632,12927626.707079263,12927661.932713296,11.488806785592715,0.0013829837319570084,0.09937607976232152,boot_1
mixture,0.05,6497375.236480974,12994756.472961947,12994791.69859598,84.97440964670386,0.0014215695604536858,0.01907553188123412,boot_1
mixture,0.1,6524399.976558476,13048805.953116952,13048841.178750984,131.7341027640087,0.0014860115310831746,0.013966507767604112,boot_1
mixture,0.15000000000000002,6542431.610891734,13084869.221783468,13084904.447417501,169.83076460290044,0.0015372823299725613,0.011763733043656858,boot_1
mixture,0.2,6555990.013669441,13111986.027338883,13112021.252972916,202.6698433023703,0.001581489846120749,0.01049774921129808,boot_1
mixture,0.25,6566849.146399479,13133704.292798959,13133739.518432992,231.85943392451034,0.0016205988032036982,0.009665513050580455,boot_1
mixture,0.3,6575891.491119591,13151788.982239181,13151824.207873214,258.3680437701232,0.0016555921354830764,0.009071588512514158,boot_1
mixture,0.35000000000000003,6583622.983391124,13167251.966782248,13167287.19241628,282.82620733896704,0.0016871587965422259,0.008623336724013213,boot_1
mixture,0.4,6590362.226778224,13180730.453556448,13180765.679190481,305.668907682077,0.001715829924101566,0.008270663608788047,boot_1
mixture,0.45,6596323.609288137,13192653.218576275,13192688.444210308,327.2027048374249,0.0017420338184204443,0.00798444294443324,boot_1
mixture,0.5,6601658.661352642,13203323.322705284,13203358.548339317,347.65253062214833,0.0017661203450196348,0.007746399579405611,boot_1
null,,6636138.699888722,13272279.399777444,13272291.141655454,516.7214004745863,0.0019352788544882082,,boot_1
sum,,6674020.878185759,13348043.756371519,13348055.498249529,736.0925604166591,0.002717049604288782,,boot_1
mixture,0.005250000000000003,6455240.533577376,12910487.067154752,12910522.292788785,20.83552311756823,0.0013582377085192452,0.05861738861467733,boot_2
mixture,0.005500000000000003,6455250.83810704,12910507.67621408,12910542.901848113,21.45549276406689,0.0013572026197848873,0.05714518961733082,boot_2
mixture,0.005000000000000003,6455263.521299976,12910533.042599952,12910568.268233985,20.205456809515816,0.0013593652318586132,0.06020353225581747,boot_2
mixture,0.005750000000000003,6455290.28687193,12910586.57374386,12910621.799377892,22.06573587792163,0.0013562643617525435,0.05577480451288532,boot_2
mixture,0.0047500000000000025,6455324.756788836,12910655.513577672,12910690.739211705,19.564710090818984,0.0013605934569591656,0.06191835306099679,boot_2
mixture,0.006000000000000004,6455355.378574422,12910716.757148843,12910751.982782876,22.666624190468788,0.0013554186217321067,0.05449577084858426,boot_2
mixture,0.004500000000000002,6455430.213207253,12910866.426414507,12910901.65204854,18.91281421234708,0.0013619228147256973,0.06377868819414048,boot_2
mixture,0.006250000000000004,6455443.134423828,12910892.268847656,12910927.494481688,23.258372922536914,0.0013546677690188288,0.053299341682877525,boot_2
mixture,0.006500000000000004,6455551.00144366,12911108.00288732,12911143.228521353,23.841483219818237,0.0013539985844363853,0.05217719013134341,boot_2
mixture,0.004250000000000002,6455587.158679243,12911180.317358486,12911215.54299252,18.249227357960624,0.0013633428690732802,0.06580473533265817,boot_2
mixture,0.006750000000000004,6455676.776463205,12911359.55292641,12911394.778560443,24.416149875144818,0.001353423922329667,0.051122562986228755,boot_2
mixture,0.004000000000000002,6455804.526250323,12911615.052500647,12911650.27813468,17.5731508876184,0.0013648658628064268,0.0680213572476184,boot_2
mixture,0.0070000000000000045,6455818.546124688,12911643.092249377,12911678.31788341,24.98267766911495,0.001352925842221355,0.050129473415006724,boot_2
mixture,0.007250000000000005,6455974.638879351,12911955.277758703,12911990.503392735,25.541447259547326,0.0013525046892631143,0.049192255431329455,boot_2
