model,w1,NLL,AIC,mean,phi1,phi2,distribution,iteration
mixture,0.4,1018.6498084422251,2043.2996168844502,60.435013526675064,0.016546699058948126,0.016546699570534805,geom3,0
mixture,0.45,1018.6498084422252,2043.2996168844504,60.43501372597143,0.01654669931718713,0.016546699306545308,geom3,0
mixture,0.5,1018.6498084422255,2043.299616884451,60.43501401683185,0.016546699231698506,0.016546699231698506,geom3,0
mixture,0.35000000000000003,1018.6498084422258,2043.2996168844516,60.43501466592791,0.016546698640035183,0.016546699276873963,geom3,0
mixture,0.0027500000000000007,1018.6498084422262,2043.2996168844525,60.434984496141794,0.016546707408645944,0.016546707314008032,geom3,0
mixture,0.3,1018.6498084422262,2043.2996168844525,60.435014647385216,0.016546698418437096,0.016546699333608757,geom3,0
mixture,0.006500000000000004,1018.6498084422265,2043.299616884453,60.43498460361103,0.01654670739582572,0.016546707284117806,geom3,0
mixture,0.003000000000000001,1018.6498084422267,2043.2996168844534,60.43498454163746,0.016546707346565527,0.016546707301677205,geom3,0
mixture,0.008000000000000005,1018.6498084422267,2043.2996168844534,60.434984476602345,0.016546707509832705,0.016546707318084074,geom3,0
mixture,0.0047500000000000025,1018.6498084422267,2043.2996168844534,60.4349844794892,0.016546707437130714,0.016546707318263038,geom3,0
mixture,0.0022500000000000003,1018.6498084422267,2043.2996168844534,60.43498402747228,0.01654670745100915,0.016546707442567973,geom3,0
mixture,0.0037500000000000016,1018.6498084422268,2043.2996168844536,60.43498389074335,0.016546707496392667,0.016546707479960843,geom3,0
mixture,0.25,1018.6498084422269,2043.2996168844538,60.43501518868456,0.01654669883391516,0.016546698936499137,geom3,0
mixture,0.003250000000000001,1018.6498084422269,2043.2996168844538,60.43498394152751,0.01654670758037359,0.016546707465745547,geom3,0
mixture,0.004500000000000002,1018.649808442227,2043.299616884454,60.434983831570214,0.016546707528318758,0.016546707496078603,geom3,0
mixture,0.006250000000000004,1018.649808442227,2043.299616884454,60.434984627022835,0.01654670732559058,0.016546707278137323,geom3,0
mixture,0.009000000000000006,1018.6498084422271,2043.2996168844543,60.434984318881156,0.0165467076312746,0.016546707360362897,geom3,0
mixture,0.005500000000000003,1018.6498084422271,2043.2996168844543,60.43498449204807,0.01654670740918658,0.016546707314870384,geom3,0
mixture,0.005250000000000003,1018.6498084422271,2043.2996168844543,60.4349844364771,0.01654670745426955,0.016546707329951425,geom3,0
mixture,0.004000000000000002,1018.6498084422271,2043.2996168844543,60.4349845363887,0.016546707414834175,0.016546707302800813,geom3,0
mixture,0.006750000000000004,1018.6498084422271,2043.2996168844543,60.434983736739795,0.01654670772012901,0.016546707520842453,geom3,0
mixture,0.004250000000000002,1018.6498084422271,2043.2996168844543,60.43498448135784,0.01654670749081845,0.016546707317579776,geom3,0
mixture,0.005750000000000003,1018.6498084422271,2043.2996168844543,60.43498392455202,0.016546707551246754,0.016546707470300424,geom3,0
mixture,0.009500000000000007,1018.6498084422273,2043.2996168844545,60.434984323643825,0.016546707617608774,0.016546707359040718,geom3,0
mixture,0.0035000000000000014,1018.6498084422273,2043.2996168844545,60.43498403546393,0.016546707576168093,0.016546707439922044,geom3,0
mixture,0.010000000000000007,1018.6498084422274,2043.2996168844547,60.43498433922407,0.01654670764142764,0.016546707354360674,geom3,0
mixture,0.006000000000000004,1018.6498084422274,2043.2996168844547,60.43498452864247,0.016546707437034736,0.016546707304575057,geom3,0
mixture,0.008750000000000006,1018.6498084422274,2043.2996168844547,60.434983950712855,0.01654670758699745,0.01654670746251397,geom3,0
mixture,0.005000000000000003,1018.6498084422275,2043.299616884455,60.43498450729075,0.016546707396329116,0.01654670731078807,geom3,0
mixture,0.008500000000000006,1018.6498084422275,2043.299616884455,60.43498378621837,0.016546707767881065,0.016546707506418293,geom3,0
mixture,0.007250000000000005,1018.6498084422276,2043.2996168844552,60.43498385615102,0.01654670765461019,0.016546707488287783,geom3,0
mixture,0.009250000000000006,1018.6498084422276,2043.2996168844552,60.43498362986601,0.016546707834848993,0.016546707548803066,geom3,0
mixture,0.002,1018.6498084422277,2043.2996168844554,60.434984027512435,0.01654670746350961,0.01654670744253402,geom3,0
mixture,0.007500000000000005,1018.6498084422277,2043.2996168844554,60.43498371823207,0.016546707688733536,0.016546707526034696,geom3,0
mixture,0.2,1018.6498084422277,2043.2996168844554,60.43501657405911,0.01654669932101972,0.01654669833417878,geom3,0
mixture,0.0025000000000000005,1018.6498084422278,2043.2996168844556,60.434983951117566,0.01654670753154487,0.016546707463321837,geom3,0
mixture,0.009750000000000007,1018.6498084422278,2043.2996168844556,60.43498370306672,0.016546707729394906,0.01654670752945772,geom3,0
