model,w1,NLL,AIC,BIC,mean,phi1,phi2,distribution,iteration
mixture,0.0027500000000000007,481.7489900489581,969.4979800979162,978.1463858656753,14.65151476498337,0.06825232855235039,0.06825232858456824,geom2,0
mixture,0.0025000000000000005,481.7489900489581,969.4979800979162,978.1463858656753,14.651514640336016,0.06825232951032284,0.06825232916426931,geom2,0
mixture,0.008250000000000006,481.7489900489581,969.4979800979162,978.1463858656753,14.651514771583894,0.06825232858693757,0.06825232855345567,geom2,0
mixture,0.002,481.74899004895815,969.4979800979163,978.1463858656754,14.651514573794092,0.06825232908124454,0.06825232947590135,geom2,0
mixture,0.0037500000000000016,481.74899004895815,969.4979800979163,978.1463858656754,14.651514644387026,0.0682523284910688,0.06825232914872952,geom2,0
mixture,0.003250000000000001,481.74899004895815,969.4979800979163,978.1463858656754,14.651514734839882,0.06825232959795895,0.06825232872205278,geom2,0
mixture,0.004500000000000002,481.74899004895815,969.4979800979163,978.1463858656754,14.651514661179078,0.06825232620029864,0.06825232908100269,geom2,0
mixture,0.003000000000000001,481.74899004895815,969.4979800979163,978.1463858656754,14.65151453806154,0.06825233034356373,0.06825232963945553,geom2,0
mixture,0.005500000000000003,481.74899004895815,969.4979800979163,978.1463858656754,14.651514498224655,0.0682523290826142,0.06825232983126078,geom2,0
mixture,0.007250000000000005,481.74899004895815,969.4979800979163,978.1463858656754,14.651514676487071,0.06825232705883193,0.06825232901088142,geom2,0
mixture,0.009000000000000006,481.74899004895815,969.4979800979163,978.1463858656754,14.651514700114475,0.06825232870685637,0.06825232888829659,geom2,0
mixture,0.008000000000000005,481.74899004895815,969.4979800979163,978.1463858656754,14.651514622731957,0.06825232777508301,0.06825232925901227,geom2,0
mixture,0.006750000000000004,481.74899004895815,969.4979800979163,978.1463858656754,14.65151472339998,0.06825232961933174,0.0682523287724746,geom2,0
mixture,0.004250000000000002,481.74899004895815,969.4979800979163,978.1463858656754,14.651514722286402,0.06825232722340456,0.06825232879003655,geom2,0
mixture,0.006250000000000004,481.74899004895815,969.4979800979163,978.1463858656754,14.651514736559035,0.06825232933652618,0.06825232871299393,geom2,0
mixture,0.010000000000000007,481.74899004895815,969.4979800979163,978.1463858656754,14.651514701120197,0.06825232710294438,0.06825232889994863,geom2,0
mixture,0.5,481.74899004895815,969.4979800979163,978.1463858656754,14.651515674038135,0.06825232434975705,0.06825232434975705,geom2,0
mixture,0.008750000000000006,481.7489900489582,969.4979800979164,978.1463858656755,14.651514589452754,0.06825232993737562,0.06825232939744362,geom2,0
mixture,0.008500000000000006,481.7489900489582,969.4979800979164,978.1463858656755,14.651514607591668,0.06825232782568365,0.06825232933046067,geom2,0
mixture,0.005000000000000003,481.7489900489582,969.4979800979164,978.1463858656755,14.65151451776139,0.0682523310546978,0.06825232972950773,geom2,0
mixture,0.05,481.7489900489582,969.4979800979164,978.1463858656755,14.65151470595487,0.06825232367584382,0.0682523291322786,geom2,0
mixture,0.45,481.7489900489582,969.4979800979164,978.1463858656755,14.651515768525655,0.06825232225504356,0.06825232526332496,geom2,0
mixture,0.007750000000000005,481.74899004895826,969.4979800979165,978.1463858656756,14.65151472257953,0.06825232754924479,0.06825232879164143,geom2,0
mixture,0.007500000000000005,481.74899004895826,969.4979800979165,978.1463858656756,14.65151475755961,0.06825232858080693,0.06825232861935143,geom2,0
mixture,0.006000000000000004,481.74899004895826,969.4979800979165,978.1463858656756,14.651514533586704,0.0682523303661926,0.06825232965816518,geom2,0
mixture,0.009500000000000007,481.74899004895826,969.4979800979165,978.1463858656756,14.651514742264034,0.06825232787470807,0.06825232869813753,geom2,0
mixture,0.0070000000000000045,481.74899004895826,969.4979800979165,978.1463858656756,14.651514541544273,0.06825232717408264,0.06825232964262375,geom2,0
mixture,0.006500000000000004,481.74899004895826,969.4979800979165,978.1463858656756,14.651514628018305,0.06825232785939453,0.06825232923143328,geom2,0
