model,w1,NLL,AIC,BIC,mean,phi1,phi2,distribution,iteration
mixture,0.005250000000000003,2886.458898129683,5778.917796259366,5791.171294498591,27.585125208762527,0.0014519405683064608,0.041501047121056484,mixture,0
mixture,0.005500000000000003,2886.472516923875,5778.94503384775,5791.198532086975,28.249199377876426,0.0014571068984032046,0.04063396930810938,mixture,0
mixture,0.005000000000000003,2886.472738382936,5778.945476765872,5791.198975005097,26.892605740847515,0.0014471836902451463,0.042453117207246274,mixture,0
mixture,0.005750000000000003,2886.510229301788,5779.020458603576,5791.273956842801,28.887648719647537,0.0014625786433913885,0.03983974155058461,mixture,0
mixture,0.0047500000000000025,2886.5179416337833,5779.0358832675665,5791.289381506792,26.168484551084102,0.0014429626535105576,0.043505066138996344,mixture,0
mixture,0.006000000000000004,2886.569124692926,5779.138249385852,5791.391747625077,29.50303121302843,0.0014682693946632055,0.039108318285893076,mixture,0
mixture,0.004500000000000002,2886.5990523119517,5779.198104623903,5791.451602863129,25.409091798617393,0.0014394460777095632,0.04467553506785025,mixture,0
mixture,0.006250000000000004,2886.6466781849394,5779.293356369879,5791.546854609104,30.097184362573344,0.0014741251466722917,0.03843196572575809,mixture,0
mixture,0.004250000000000002,2886.7213822268423,5779.4427644536845,5791.69626269291,24.6105464262437,0.0014368250555113397,0.045987472657133245,mixture,0
mixture,0.006500000000000004,2886.7406928902665,5779.481385780533,5791.734884019758,30.67230412724471,0.0014800821999231756,0.03780347013954162,mixture,0
mixture,0.006750000000000004,2886.84925171928,5779.69850343856,5791.952001677785,31.229859811601287,0.0014861051416027392,0.037217400458356226,mixture,0
mixture,0.004000000000000002,2886.8911739298,5779.7823478596,5792.0358460988255,23.769180714598846,0.0014353023065585896,0.04746855494088362,mixture,0
mixture,0.0070000000000000045,2886.97067698617,5779.94135397234,5792.194852211565,31.77148662055299,0.0014921564404089577,0.036668736502320304,mixture,0
mixture,0.007250000000000005,2887.103496436325,5780.20699287265,5792.460491111875,32.29827400503316,0.0014982144987759724,0.036153664483514335,mixture,0
mixture,0.0037500000000000016,2887.1158230849715,5780.231646169943,5792.485144409168,22.881597528723077,0.0014350943946982472,0.049152555671417957,mixture,0
mixture,0.007750000000000005,2887.3982887796583,5780.796577559317,5793.050075798542,33.311884600605424,0.0015102724392084457,0.0352106926920154,mixture,0
mixture,0.0035000000000000014,2887.404205021223,5780.808410042446,5793.061908281671,21.94443242072185,0.0014364537091604776,0.051081931314844696,mixture,0
mixture,0.008000000000000005,2887.5581082302315,5781.116216460463,5793.369714699688,33.8003499593055,0.001516250001971196,0.034777517431872164,mixture,0
mixture,0.008250000000000006,2887.724977108657,5781.449954217314,5793.70345245654,34.278029890141816,0.0015221692235349337,0.034366394893286835,mixture,0
mixture,0.003250000000000001,2887.767194420435,5781.53438884087,5793.787887080095,20.958182380233914,0.0014394803448028865,0.05330093285594525,mixture,0
mixture,0.008500000000000006,2887.8980994600006,5781.796198920001,5794.0496971592265,34.74536204008189,0.0015280305090058987,0.03397567184119569,mixture,0
mixture,0.008750000000000006,2888.0767666006914,5782.153533201383,5794.407031440608,35.20302636952813,0.0015338269825632448,0.03360358443214962,mixture,0
mixture,0.003000000000000001,2888.2185424519007,5782.437084903801,5794.690583143027,19.92530813208734,0.0014441037418989387,0.055860929090039424,mixture,0
mixture,0.009000000000000006,2888.260346257146,5782.520692514292,5794.774190753517,35.651373607148145,0.001539561446273962,0.03324883787200206,mixture,0
mixture,0.009250000000000006,2888.4482732454303,5782.896546490861,5795.150044730086,36.09170161785913,0.0015452080836902305,0.03290932062080701,mixture,0
mixture,0.009500000000000007,2888.64004141461,5783.28008282922,5795.5335810684455,36.52368649354264,0.0015507878283081643,0.03258462935255743,mixture,0
mixture,0.0027500000000000007,2888.7763861146295,5783.552772229259,5795.806270468484,18.85308975515708,0.0014499557387066605,0.05881232378096309,mixture,0
mixture,0.009750000000000007,2888.835196715696,5783.670393431392,5795.923891670617,36.948016566401094,0.0015562895067295806,0.03227345033941653,mixture,0
mixture,0.010000000000000007,2889.033331163469,5784.066662326938,5796.320160566163,37.36517091892952,0.0015617177464572172,0.03197471457296373,mixture,0
mixture,0.0025000000000000005,2889.4658061533028,5784.9316123066055,5797.185110545831,17.75183266881948,0.0014563222097658624,0.06220697399623655,mixture,0
mixture,0.0022500000000000003,2890.3230502174397,5786.646100434879,5798.899598674105,16.632868633211608,0.001462146743788717,0.06610226977120479,mixture,0
mixture,0.002,2891.402474935425,5788.80494987085,5801.058448110075,15.504772623603895,0.0014661690591080336,0.07057655375733773,mixture,0
mixture,0.05,2915.629365821307,5837.258731642614,5849.51222988184,75.89794441560804,0.001962575427358591,0.01884127484912804,mixture,0
mixture,0.1,2933.1386694777557,5872.277338955511,5884.530837194737,105.46323938074653,0.002141679792823797,0.015313696334540652,mixture,0
mixture,0.15000000000000002,2946.7171385962174,5899.434277192435,5911.68777543166,116.35533173083398,0.0022319346453200505,0.017294327734911984,mixture,0
mixture,0.4,2970.609214782453,5947.218429564906,5959.471927804131,217.62012753130907,0.002494158409893159,0.010481193307218025,mixture,0
mixture,0.007500000000000005,2974.4560958794523,5954.912191758905,5967.16568999813,8.123076402146227,0.0021164068697118506,0.21673455609944192,mixture,0
mixture,0.45,2978.6846779514526,5963.369355902905,5975.622854142131,259.996500410398,0.009696007354842402,0.002575079431113826,mixture,0
mixture,0.2,2992.0128633162867,5990.025726632573,6002.279224871799,75.96637026138615,0.002729267790848918,0.297769399346376,mixture,0
mixture,0.25,2992.1520555629836,5990.304111125967,6002.557609365193,94.13320216179503,0.002728826240940372,0.2977701672103626,mixture,0
mixture,0.3,2992.2452742793157,5990.490548558631,6002.744046797857,112.30024649682758,0.0027285267521763397,0.2977706859135371,mixture,0
mixture,0.35000000000000003,2992.3120684663436,5990.624136932687,6002.8776351719125,130.46740953312232,0.002728310382394535,0.2977710598080962,mixture,0
mixture,0.5,2992.4327412514667,5990.865482502933,6003.118980742159,184.96932646265734,0.002727914710676783,0.2977717399670351,mixture,0
null,,2992.5742532592762,5987.1485065185525,5991.233005931627,366.643207781488,0.0027274472260126526,,mixture,0
sum,,3009.369656799192,6020.739313598384,6024.823813011459,542.5753821283815,0.003686123745892271,,mixture,0
mixture,0.0035000000000000014,2828.50196329593,5663.00392659186,5675.146043128999,21.79208502720662,0.0012652903623132257,0.052375912402762424,mixture,1
mixture,0.0037500000000000016,2828.507185312883,5663.014370625766,5675.156487162904,22.431706779228275,0.001278332179398542,0.0510944679666407,mixture,1
mixture,0.003250000000000001,2828.5634354261956,5663.126870852391,5675.26898738953,21.12689975205973,0.001251355207272133,0.053791975293085874,mixture,1
mixture,0.004000000000000002,2828.565890776129,5663.131781552258,5675.273898089396,23.048685505906324,0.00129057632794924,0.0499265763178057,mixture,1
mixture,0.004250000000000002,2828.6678312482436,5663.335662496487,5675.477779033626,23.64538698558922,0.0013021109695468191,0.04885568465944436,mixture,1
mixture,0.003000000000000001,2828.7088941444663,5663.417788288933,5675.559904826071,20.432095187658263,0.001236463279751811,0.05537098516553983,mixture,1
mixture,0.004500000000000002,2828.8049496940957,5663.6098993881915,5675.75201592533,24.224289271091816,0.0013129952025020886,0.04786745569543992,mixture,1
mixture,0.0027500000000000007,2828.9613815736557,5663.922763147311,5676.06487968445,19.704693174321246,0.0012203235520331138,0.05714509208830841,mixture,1
mixture,0.0047500000000000025,2828.9708374659485,5663.941674931897,5676.0837914690355,24.785882021135592,0.0013233301268791681,0.04695361132082634,mixture,1
mixture,0.005000000000000003,2829.1603446783847,5664.320689356769,5676.462805893908,25.332832081046853,0.001333123967910465,0.04610271477168142,mixture,1
mixture,0.0025000000000000005,2829.3522498894654,5664.704499778931,5676.846616316069,18.93673145745693,0.0012030016116244713,0.05916862738888136,mixture,1
mixture,0.005250000000000003,2829.369294967549,5664.738589935098,5676.880706472237,25.866526300142898,0.001342433717470632,0.04530710263231724,mixture,1
mixture,0.005500000000000003,2829.5942740331393,5665.188548066279,5677.330664603417,26.386947990764334,0.0013513119735181563,0.044562781865576856,mixture,1
mixture,0.005750000000000003,2829.832470513312,5665.664941026624,5677.807057563762,26.89587931145268,0.001359787468006709,0.043862788905780443,mixture,1
mixture,0.0022500000000000003,2829.925231993421,5665.850463986842,5677.992580523981,18.12256949047558,0.0011841762938617358,0.0615040286148912,mixture,1
mixture,0.006000000000000004,2830.081554465779,5666.163108931558,5678.305225468696,27.394608044501187,0.0013678708076578087,0.043201934614546564,mixture,1
mixture,0.006250000000000004,2830.339583737483,5666.679167474966,5678.821284012104,27.882300941070085,0.0013756572616008668,0.04257891205007346,mixture,1
mixture,0.006500000000000004,2830.6049312336963,5667.209862467393,5679.351979004531,28.361091621593804,0.001383104478030207,0.0419880060062769,mixture,1
mixture,0.002,2830.743187377183,5667.486374754366,5679.628491291504,17.2511753940256,0.0011636608147770192,0.0642525332788886,mixture,1
mixture,0.006750000000000004,2830.8762273254815,5667.752454650963,5679.8945711881015,28.831038358821772,0.0013902608695385724,0.041427129547086924,mixture,1
mixture,0.0070000000000000045,2831.1523144430325,5668.304628886065,5680.4467454232035,29.29270089103003,0.00139714544770329,0.040893672559127306,mixture,1
mixture,0.007250000000000005,2831.4322106330146,5668.864421266029,5681.006537803168,29.746603034575873,0.0014037783310088573,0.04038529058824594,mixture,1
mixture,0.007500000000000005,2831.7150802143547,5669.430160428709,5681.572276965848,30.193151677676433,0.001410177084766448,0.03990002569104409,mixture,1
mixture,0.007750000000000005,2832.0002099633984,5670.000419926797,5682.142536463935,30.632729974911186,0.0014163489749653023,0.03943616569830544,mixture,1
mixture,0.008000000000000005,2832.2869896592456,5670.573979318491,5682.71609585563,31.06571257077398,0.0014223187375922805,0.03899203349686401,mixture,1
mixture,0.008250000000000006,2832.5748961170707,5671.149792234141,5683.29190877128,31.492460659984552,0.0014280922357108108,0.03856620006927057,mixture,1
mixture,0.008500000000000006,2832.863479978253,5671.726959956506,5683.869076493645,31.913202322247045,0.0014336856846200946,0.03815746992741524,mixture,1
mixture,0.008750000000000006,2833.1523552493054,5672.304710498611,5684.446827035749,32.3258281012249,0.001439149298234468,0.03776787946516227,mixture,1
mixture,0.009000000000000006,2833.441187724019,5672.882375448038,5685.024491985177,32.73859372901097,0.0014443364685438672,0.03738584486320057,mixture,1
mixture,0.009250000000000006,2833.7296920976505,5673.459384195301,5685.6015007324395,33.1426515939169,0.0014494628007164234,0.037022190997879616,mixture,1
mixture,0.009500000000000007,2834.0176208597713,5674.035241719543,5686.177358256681,33.54224358490089,0.0014544214817459595,0.03667100997840055,mixture,1
mixture,0.009750000000000007,2834.30476110559,5674.60952221118,5686.751638748318,33.937272267287184,0.0014592106173180277,0.036332013194067536,mixture,1
mixture,0.010000000000000007,2834.590929241728,5675.181858483456,5687.323975020595,34.32737809176401,0.0014639331361056573,0.03600462820903752,mixture,1
mixture,0.05,2862.9681327397884,5731.936265479577,5744.078382016715,75.53892671244432,0.0017477147069290106,0.02024285526208718,mixture,1
mixture,0.1,2928.8658679751657,5863.731735950331,5875.87385248747,46.2752799427644,0.0023117628626995175,0.29818623271851774,mixture,1
mixture,0.15000000000000002,2929.181455281553,5864.362910563106,5876.505027100245,67.76380010896176,0.0023107766667653236,0.2981869953806857,mixture,1
mixture,0.2,2929.3410992107274,5864.682198421455,5876.824314958593,89.24639391630302,0.00231044200353142,0.29818805594024916,mixture,1
mixture,0.25,2929.4374877288355,5864.874975457671,5877.01709199481,110.730653860389,0.0023102057860670843,0.2981886830238403,mixture,1
mixture,0.3,2929.5019978494856,5865.003995698971,5877.14611223611,132.22398545214196,0.0023098872135591916,0.2981877438205484,mixture,1
mixture,0.35000000000000003,2929.548205906655,5865.09641181331,5877.238528350448,153.70146034893432,0.0023099011139496844,0.2981894135574296,mixture,1
mixture,0.4,2929.582928820914,5865.165857641828,5877.307974178966,175.18763466921473,0.0023097956556311257,0.29818965002490183,mixture,1
mixture,0.45,2929.6099764286164,5865.219952857233,5877.362069394371,196.67421296344585,0.0023097088566890493,0.29818983862248877,mixture,1
mixture,0.5,2929.6316404416602,5865.2632808833205,5877.405397420459,218.15660714576362,0.0023096840604153496,0.29819010526867384,mixture,1
null,,2929.7294134690987,5861.4588269381975,5865.506199117243,433.0152589095141,0.0023093874394134618,,mixture,1
sum,,2942.5617245717062,5887.1234491434125,5891.170821322458,627.4837072656354,0.0031873337535970976,,mixture,1
mixture,0.002,2922.7156657613696,5851.431331522739,5863.73900730658,16.70880437513566,0.0013226477486908727,0.06567221312306704,mixture,2
mixture,0.0022500000000000003,2922.8218099853625,5851.643619970725,5863.951295754566,17.476535033453604,0.0013494064382065139,0.06311224390761051,mixture,2
mixture,0.0025000000000000005,2923.081886774091,5852.163773548182,5864.4714493320225,18.203104055435922,0.0013729743569868456,0.06088911011377827,mixture,2
mixture,0.0027500000000000007,2923.448473982262,5852.896947964524,5865.204623748365,18.895197041816594,0.0013939693365940737,0.058930719896040734,mixture,2
mixture,0.003000000000000001,2923.8897305283117,5853.779461056623,5866.087136840464,19.558145168628556,0.0014128435160429029,0.05718458734677394,mixture,2
mixture,0.003250000000000001,2924.3836415119026,5854.767283023805,5867.074958807646,20.19601463918723,0.0014299243471049554,0.055612381067156005,mixture,2
mixture,0.0035000000000000014,2924.9146219673544,5855.829243934709,5868.1369197185495,20.81172635412164,0.0014455184503137264,0.054185732995935154,mixture,2
mixture,0.0037500000000000016,2925.4714249860886,5856.942849972177,5869.250525756018,21.408049030405905,0.0014598198160091559,0.05288164812569803,mixture,2
mixture,0.004000000000000002,2926.0458062728894,5858.091612545779,5870.39928832962,21.986972777674104,0.001473009239940767,0.05168268842535916,mixture,2
mixture,0.004250000000000002,2926.6316456604727,5859.263291320945,5871.570967104786,22.551326510079782,0.001485161169171747,0.05057216705752682,mixture,2
mixture,0.004500000000000002,2927.2243530309365,5860.448706061873,5872.756381845714,23.09953308757123,0.0014965921632386278,0.04954535259796875,mixture,2
mixture,0.0047500000000000025,2927.8204600961117,5861.640920192223,5873.948595976064,23.636238995643733,0.001507204927394987,0.04858501775220141,mixture,2
mixture,0.005000000000000003,2928.417330238673,5862.834660477346,5875.142336261187,24.161038296858997,0.0015171334923373798,0.04768671641891077,mixture,2
mixture,0.005250000000000003,2929.0129524626336,5864.025904925267,5876.333580709108,24.674047050876865,0.0015264951645116579,0.046845281535594835,mixture,2
mixture,0.005500000000000003,2929.605791136138,5865.211582272276,5877.519258056117,25.177579097080855,0.0015352962311810318,0.046051882189912144,mixture,2
mixture,0.005750000000000003,2930.1946745260766,5866.389349052153,5878.697024835994,25.671907699569235,0.0015436136791397838,0.04530256196106555,mixture,2
mixture,0.006000000000000004,2930.778712252127,5867.557424504254,5879.865100288095,26.156941343893507,0.001551517726742231,0.044594467965792736,mixture,2
mixture,0.006250000000000004,2931.357232770884,5868.714465541768,5881.022141325609,26.634024607564413,0.0015590052090799758,0.04392253955558083,mixture,2
mixture,0.006500000000000004,2931.929735672362,5869.859471344724,5882.1671471285645,27.103178815110955,0.001566172686099423,0.043284226672893424,mixture,2
mixture,0.006750000000000004,2932.4958548949294,5870.991709789859,5883.2993855736995,27.565436671877627,0.0015729252383913455,0.04267624994740923,mixture,2
mixture,0.0070000000000000045,2933.05533075533,5872.11066151066,5884.418337294501,28.02057358085785,0.0015794139341569822,0.042096695444505734,mixture,2
mixture,0.007250000000000005,2933.6079873501985,5873.215974700397,5885.523650484238,28.469066909234492,0.0015856288366348234,0.041543308793540665,mixture,2
mixture,0.007500000000000005,2934.1537153818026,5874.307430763605,5886.615106547446,28.911276646502326,0.0015915836163363718,0.04101411033338822,mixture,2
mixture,0.007750000000000005,2934.6924583430173,5875.384916686035,5887.692592469875,29.34767454274863,0.0015973010717911125,0.04050704301143463,mixture,2
mixture,0.008000000000000005,2935.224201612934,5876.448403225868,5888.756079009709,29.778373679838563,0.0016027969619424104,0.040020819002259636,mixture,2
mixture,0.008250000000000006,2935.7489637260624,5877.497927452125,5889.8056032359655,30.203365282533003,0.0016081009853155363,0.03955435815359966,mixture,2
mixture,0.008500000000000006,2936.266789417861,5878.533578835722,5890.841254619563,30.623555138699388,0.001613198867649607,0.039105451933990114,mixture,2
mixture,0.008750000000000006,2936.777744655397,5879.555489310794,5891.8631650946345,31.041109013671395,0.0016180793538414723,0.03867015514894284,mixture,2
mixture,0.009000000000000006,2937.281908776452,5880.563817552904,5892.871493336745,31.448784470023945,0.0016228816955121221,0.03825797839218975,mixture,2
mixture,0.009250000000000006,2937.7793775484415,5881.558755096883,5893.866430880724,31.85435204140179,0.0016274894163428532,0.037857147752538026,mixture,2
mixture,0.009500000000000007,2938.2702534909067,5882.540506981813,5894.848182765654,32.255472274268264,0.0016319483282151888,0.03747038468439929,mixture,2
mixture,0.009750000000000007,2938.754646819557,5883.509293639114,5895.816969422955,32.652306513083445,0.001636280125983555,0.03709681111324301,mixture,2
