model,w1,NLL,AIC,mean,phi1,phi2,bootstrap
mixture,0.005,5933832.945691329,11867671.891382659,24.13133846432416,0.0011816591941667357,0.05,boot_1
mixture,0.01,5933919.54083861,11867845.08167722,30.830639488591018,0.0013767282039669003,0.04200781814278951,boot_1
mixture,0.015,5939219.823880549,11878445.647761097,39.49024513707404,0.0013909425364137602,0.03431315598492976,boot_1
mixture,0.02,5944624.845943296,11889255.691886593,46.975142329757844,0.001408484347049914,0.02990039977726822,boot_1
mixture,0.025,5949729.310029451,11899464.620058902,53.72140325906649,0.0014257015501612782,0.026943990628948252,boot_1
mixture,0.05,5970232.579558155,11940471.15911631,81.47471327522044,0.001497827872779462,0.019753377851397393,boot_1
mixture,0.07500000000000001,5985044.509233436,11970095.018466871,103.89298377673614,0.0015536949912969035,0.016630421037035492,boot_1
mixture,0.10000000000000002,5996573.027434965,11993152.05486993,123.33733090108126,0.0016000869186831943,0.014792722893046147,boot_1
mixture,0.12500000000000003,6005996.986382187,12011999.972764375,140.7567941834836,0.0016403323535557565,0.013554811183032204,boot_1
mixture,0.15000000000000002,6013957.650593532,12027921.301187064,156.66793200021374,0.0016761409243718332,0.01265320612118111,boot_1
mixture,0.17500000000000004,6020841.017528524,12041688.035057047,171.39326030888523,0.0017085420209622464,0.011962286486483942,boot_1
mixture,0.20000000000000007,6026897.440413176,12053800.880826352,185.16731742136938,0.0017381355624679832,0.011412024997385826,boot_1
mixture,0.22500000000000003,6032298.65371498,12064603.30742996,198.1426536824565,0.0017654510264406007,0.010962358178435373,boot_1
mixture,0.25000000000000006,6037167.682702943,12074341.365405886,210.44762259788834,0.0017908020376824136,0.010586436479277513,boot_1
mixture,0.2750000000000001,6041595.749879456,12083197.499758912,222.17929574809472,0.0018144424243074161,0.010266564793803676,boot_1
mixture,0.3000000000000001,6045652.417768982,12091310.835537964,233.41314919116024,0.001836592903407212,0.009990408346596619,boot_1
mixture,0.32500000000000007,6049391.976241252,12098789.952482505,244.21207689184914,0.0018574217805866955,0.009748931630792898,boot_1
mixture,0.3500000000000001,6052857.629648214,12105721.259296428,254.6271384471714,0.0018770529971582036,0.009535736458618443,boot_1
mixture,0.3750000000000001,6056084.336312601,12112174.672625203,264.7044701808423,0.001895634199076192,0.009344887015731072,boot_1
mixture,0.4000000000000001,6059100.788967574,12118207.577935148,274.4611903462132,0.0019132740138042006,0.009174946711909066,boot_1
mixture,0.4250000000000001,6061930.83553761,12123867.67107522,283.93766811106104,0.0019300387495476312,0.00902175391046018,boot_1
mixture,0.4500000000000001,6064594.510671312,12129195.021342624,293.18063926416346,0.0019459902628774022,0.008880147863084904,boot_1
mixture,0.47500000000000014,6067108.815578061,12134223.631156122,302.16824708567646,0.001961290202301469,0.00875281078529144,boot_1
mixture,0.5000000000000002,6069488.29488105,12138982.5897621,310.97814346062415,0.001975809714056585,0.0086329936323038,boot_1
null,,6100614.832009065,12201231.66401813,458.67181247587524,0.0021802080982523796,,boot_1
sum,,6133753.512663671,12267509.025327342,648.9592261875341,0.0030818577181643252,,boot_1
mixture,0.005,5934097.923550168,11868201.847100336,24.137529370064577,0.0011799328248487868,0.05,boot_2
mixture,0.01,5934291.684863607,11868589.369727215,30.869970469750942,0.001373740961899653,0.0419659073978118,boot_2
mixture,0.015,5939634.832417188,11879275.664834376,39.55692025091182,0.0013875436881943587,0.034265100763782856,boot_2
mixture,0.02,5945069.997645848,11890145.995291697,47.05498006556415,0.0014050777312773562,0.02985902992743497,boot_2
mixture,0.025,5950199.461981924,11900404.923963849,53.807891557645185,0.0014223833191761403,0.026910094049593693,boot_2
mixture,0.05,5970789.930769274,11941585.861538548,81.56864519211832,0.0014949499555907259,0.019741199297495373,boot_2
mixture,0.07500000000000001,5985655.723622855,11971317.44724571,103.99106835413411,0.001550992214342542,0.016626246554369308,boot_2
mixture,0.10000000000000002,5997221.384359078,11994448.768718155,123.44144687713776,0.0015974690058099784,0.014792310226486109,boot_2
mixture,0.12500000000000003,6006672.7491973275,12013351.498394655,140.87316477320746,0.0016377091308980036,0.013556006141103404,boot_2
mixture,0.15000000000000002,6014654.609786585,12029315.21957317,156.8009993141415,0.001673471128329902,0.01265503418089162,boot_2
mixture,0.17500000000000004,6021554.957498143,12043115.914996287,171.54830324891577,0.0017057961593163083,0.01196399270003126,boot_2
mixture,0.20000000000000007,6027625.36338643,12055256.72677286,185.339502830394,0.001735349525249672,0.011414068147759965,boot_2
mixture,0.22500000000000003,6033038.348815822,12066082.697631644,198.33900384466074,0.001762575415912583,0.010964153478426414,boot_2
mixture,0.25000000000000006,6037917.470209846,12075840.940419693,210.66318986314087,0.0017878933049922437,0.010588163030490278,boot_2
mixture,0.2750000000000001,6042354.321822576,12084714.643645152,222.4178900941015,0.0018114699857049792,0.01026803381238291,boot_2
mixture,0.3000000000000001,6046418.733849189,12092843.467698378,233.67452906114204,0.001833562579745956,0.00999163207525566,boot_2
mixture,0.32500000000000007,6050165.193958576,12100336.387917152,244.4956004096108,0.0018543364225158834,0.009750003034809418,boot_2
mixture,0.3500000000000001,6053637.055882482,12107280.111764964,254.92910336328674,0.001873944575765074,0.00953676216943183,boot_2
mixture,0.3750000000000001,6056869.392682379,12113744.785364758,265.0256855655846,0.001892465908791496,0.009346280525634671,boot_2
mixture,0.4000000000000001,6059890.987836063,12119787.975672126,274.8092602212819,0.0019100561153922288,0.009175528440928907,boot_2
mixture,0.4250000000000001,6062725.759635953,12125457.519271906,284.3257177486433,0.0019267490358765387,0.009020044670753465,boot_2
mixture,0.4500000000000001,6065393.80201823,12130793.60403646,293.58460709410144,0.0019426534997771016,0.008879176657098873,boot_2
mixture,0.47500000000000014,6067912.1608306235,12135830.321661247,302.6017886299402,0.001957879666785223,0.008751109295539903,boot_2
mixture,0.5000000000000002,6070295.422142415,12140596.84428483,311.41436337155994,0.0019724298713548884,0.008632607676986535,boot_2
null,,6101468.056586445,12202938.11317289,459.4679838428531,0.0021764302087738485,,boot_2
sum,,6134603.684027431,12269209.368054861,649.986133678091,0.003076988717717031,,boot_2
mixture,0.005,5932506.930396484,11865019.860792968,24.137424531079464,0.0011799620178076123,0.05,boot_3
mixture,0.01,5932933.643083985,11865873.28616797,30.86039190852813,0.0013743273233784656,0.0419774251647203,boot_3
mixture,0.015,5938424.3104623305,11876854.620924661,39.48330075270441,0.001389719264553074,0.03433281455045032,boot_3
mixture,0.02,5943971.403826794,11887948.807653587,46.926479588223245,0.0014081554687032614,0.029947894575349437,boot_3
mixture,0.025,5949187.638917128,11898381.277834255,53.63284435355024,0.001426007726494046,0.027007275936470898,boot_3
mixture,0.05,5970023.367418486,11940052.734836971,81.24478266065375,0.0014993464879633313,0.019834260531336974,boot_3
mixture,0.07500000000000001,5985004.2307080785,11970014.461416157,103.5903391306541,0.001555292925961821,0.016706427402686262,boot_3
mixture,0.10000000000000002,5996636.955777694,11993279.911555387,122.99651959293283,0.0016015388526981439,0.014862135544214394,boot_3
mixture,0.12500000000000003,6006132.266291701,12012270.532583402,140.4024112441928,0.0016415295524688487,0.013617846356187426,boot_3
mixture,0.15000000000000002,6014145.100608523,12028296.201217046,156.31469592114314,0.001677067902050098,0.012710683475034668,boot_3
mixture,0.17500000000000004,6021068.39595032,12042142.79190064,171.0539477646417,0.0017092036857295687,0.01201448958336815,boot_3
mixture,0.20000000000000007,6027156.436463314,12054318.872926628,184.83977874109496,0.001738582792714514,0.011460734423930953,boot_3
mixture,0.22500000000000003,6032583.360988185,12065172.72197637,197.8385785742134,0.0017656621420281365,0.011007329601910396,boot_3
mixture,0.25000000000000006,6037473.751403571,12074953.502807142,210.16625266099095,0.0017908241353894654,0.01062838983281497,boot_3
mixture,0.2750000000000001,6041919.88322392,12083845.76644784,221.92513990609794,0.00181426865862186,0.010305774193145623,boot_3
mixture,0.3000000000000001,6045992.056897873,12091990.113795746,233.18803337828507,0.001836244062910559,0.01002706468423499,boot_3
mixture,0.32500000000000007,6049745.094646119,12099496.189292237,244.01468709758097,0.0018569182944244958,0.009783526954683774,boot_3
mixture,0.3500000000000001,6053222.594460837,12106451.188921673,254.45914786937095,0.0018764086078078594,0.0095683059088001,boot_3
mixture,0.3750000000000001,6056459.811632057,12112925.623264113,264.5574916153871,0.0018948773915517575,0.009376569858797854,boot_3
mixture,0.4000000000000001,6059485.668272467,12118977.336544935,274.3498560249698,0.0019123879472620626,0.009204250445436435,boot_3
mixture,0.4250000000000001,6062324.1897450965,12124654.379490193,283.86691278616325,0.0019290165653075013,0.009048364649498613,boot_3
mixture,0.4500000000000001,6064995.554211767,12129997.108423535,293.12617113767163,0.001944914916850478,0.00890636595240834,boot_3
mixture,0.47500000000000014,6067516.874527341,12135039.749054682,302.1595899253863,0.0019600390862425346,0.008776698141373229,boot_3
mixture,0.5000000000000002,6069902.790155783,12139811.580311567,310.9754361408576,0.008657583978237435,0.0019745472695382733,boot_3
null,,6101099.521425464,12202201.042850928,459.12371786515183,0.002178062167316975,,boot_3
sum,,6134222.398798968,12268446.797597935,649.5203139469743,0.003079195457100479,,boot_3
mixture,0.005,5931380.71507029,11862767.43014058,24.119328354336254,0.0011850227287623723,0.05,boot_4
mixture,0.01,5931783.956560896,11863573.913121792,30.747251804836097,0.0013825922394912174,0.04210175120339981,boot_4
mixture,0.015,5937292.7538847355,11874591.507769471,39.34358871085895,0.0013977591635881527,0.034425963018506714,boot_4
mixture,0.02,5942843.083229359,11885692.166458718,46.768805517364484,0.0014159310108657055,0.030020993055367522,boot_4
mixture,0.025,5948057.398973897,11896120.797947794,53.459042572753106,0.0014335913328871717,0.027068054114480822,boot_4
mixture,0.05,5968873.928243077,11937753.856486155,80.98311497987194,0.001506661974447043,0.01987565334306228,boot_4
mixture,0.07500000000000001,5983839.777423949,11967685.554847898,103.24123366600912,0.0015626041424124757,0.016743768641705382,boot_4
mixture,0.10000000000000002,5995460.377335854,11990926.754671708,122.56981597637201,0.0016088376180312185,0.014897421549031736,boot_4
mixture,0.12500000000000003,6004944.871412784,12009895.742825568,139.90932586541018,0.0016487916034810474,0.0136513494471197,boot_4
mixture,0.15000000000000002,6012947.631783467,12025901.263566934,155.76588321345127,0.0016842670347708719,0.012742411003133683,boot_4
mixture,0.17500000000000004,6019861.398617329,12039728.797234658,170.45785072685982,0.0017163139522644985,0.012044647815492603,boot_4
mixture,0.20000000000000007,6025940.381869737,12051886.763739474,184.2045175269175,0.001745609823879391,0.011489073413854866,boot_4
mixture,0.22500000000000003,6031358.685077646,12062723.370155292,197.16567206354634,0.0017726238197800254,0.011034355073802867,boot_4
mixture,0.25000000000000006,6036240.866025325,12072487.73205065,209.46306242886823,0.00179769431223338,0.010654008779647142,boot_4
mixture,0.2750000000000001,6040679.178460004,12081364.356920008,221.19017008214675,0.0018210917805509502,0.010330305349007059,boot_4
mixture,0.3000000000000001,6044743.901153078,12089493.802306157,232.42565546674223,0.0018430008734164082,0.010050589875268495,boot_4
mixture,0.32500000000000007,6048489.834554198,12096985.669108396,243.22682963710707,0.0018636155286790288,0.009806109808586998,boot_4
mixture,0.3500000000000001,6051960.555145643,12103927.110291285,253.64352795683106,0.00188307500287779,0.009590227950113071,boot_4
mixture,0.3750000000000001,6055191.297443543,12110388.594887085,263.7221040203916,0.001901473846983914,0.009397554401180364,boot_4
mixture,0.4000000000000001,6058210.963657041,12116427.927314082,273.4927324311836,0.0019189367785155135,0.009224529438017619,boot_4
mixture,0.4250000000000001,6061043.5604153555,12122093.120830711,282.985181187904,0.0019355494274356678,0.009068072590944231,boot_4
mixture,0.4500000000000001,6063709.248482277,12127424.496964553,292.22500557967874,0.0019513869173668204,0.008925703844974138,boot_4
mixture,0.47500000000000014,6066225.124771413,12132456.249542827,301.2246502363191,0.0019665361890405433,0.008796445002751315,boot_4
mixture,0.5000000000000002,6068605.812725181,12137217.625450362,310.03712720413023,0.0019809551699081812,0.008675489370135464,boot_4
null,,6099728.375528626,12199458.751057252,457.84784547805435,0.0021841317151025715,,boot_4
sum,,6132802.4535668455,12265606.907133691,647.9941096355966,0.0030864478091084994,,boot_4
mixture,0.005,5934006.154578247,11868018.309156494,24.1397074372648,0.0011793266573189999,0.05,boot_5
mixture,0.01,5934277.691452513,11868561.382905027,30.910233921011226,0.0013719001270923752,0.04191172753859538,boot_5
mixture,0.015,5939649.146242167,11879304.292484334,39.59010480437969,0.0013861737438809034,0.03423830148451843,boot_5
mixture,0.02,5945108.40311359,11890222.80622718,47.080580664449705,0.001404012431129178,0.029845571207679784,boot_5
mixture,0.025,5950258.090218239,11900522.180436479,53.82486999901351,0.0014215567112419527,0.02690507548513489,boot_5
mixture,0.05,5970914.228897568,11941834.457795136,81.54486391157096,0.0014947553508972626,0.01975274803740953,boot_5
