,model,w1,NLL,AIC,mean,phi1,phi2
13,mixture,0.005250000000000003,5930158.589095604,11860323.178191207,20.613337437659343,0.0013798238588852197,0.059181352598152555
12,mixture,0.005000000000000003,5930173.558833599,11860353.117667198,19.990110621202216,0.0013811057819154947,0.060782574906362255
14,mixture,0.005500000000000003,5930176.578051528,11860359.156103056,21.22614856516173,0.0013786792401173384,0.057696246333987886
15,mixture,0.005750000000000003,5930223.402522542,11860452.805045083,21.82899330306804,0.0013776611927916545,0.05631468425788243
11,mixture,0.0047500000000000025,5930226.410388436,11860458.820776872,19.356119625012006,0.0013825183098358704,0.06251428820276576
16,mixture,0.006000000000000004,5930295.580631168,11860597.161262335,22.42228842507367,0.001376760882141365,0.055025861920053716
10,mixture,0.004500000000000002,5930323.073819844,11860652.147639688,18.710914062134176,0.001384061068209756,0.06439359356777313
17,mixture,0.006250000000000004,5930390.149145256,11860786.298290512,23.005759700512804,0.001376014815700974,0.053821947414149744
9,mixture,0.004250000000000002,5930470.758932352,11860947.517864704,18.053616865370326,0.0013857509061048184,0.06644230040499587
18,mixture,0.006500000000000004,5930504.5678237695,11861015.135647539,23.581102652419244,0.0013753431786916698,0.052691567235909606
19,mixture,0.006750000000000004,5930636.644291757,11861279.288583513,24.14741274254651,0.001374807211363354,0.05163057105869742
8,mixture,0.004000000000000002,5930678.318829559,11861362.637659118,17.384076359893825,0.0013875470033010424,0.06868353932967802
20,mixture,0.0070000000000000045,5930784.474401722,11861574.948803443,24.705015503280162,0.001374394378836439,0.0506326193334093
21,mixture,0.007250000000000005,5930946.39481885,11861898.7896377,25.254532878632652,0.0013740821539017763,0.049691456025047945
7,mixture,0.0037500000000000016,5930956.740184304,11861919.480368609,16.70100548717768,0.0013894865296973904,0.07114970233857093
22,mixture,0.007500000000000005,5931120.944727793,11862247.889455587,25.796398446957596,0.0013738625363697394,0.04880186623238721
23,mixture,0.007750000000000005,5931306.834921689,11862619.669843378,26.330507975714497,0.0013737440229414013,0.04796028922435036
6,mixture,0.0035000000000000014,5931319.81395376,11862645.62790752,16.003320367557226,0.0013915750187429355,0.07387947482110178
24,mixture,0.008000000000000005,5931502.922577157,11863011.845154313,26.8573330238647,0.0013737099622623053,0.047162439033405834
25,mixture,0.008250000000000006,5931708.190498427,11863422.380996853,27.37721819621483,0.0013737504724194,0.046404693158964415
5,mixture,0.003250000000000001,5931785.067376316,11863576.134752631,15.289642057769424,0.0013938196056997245,0.076922068083559
26,mixture,0.008500000000000006,5931921.729954978,11863849.459909957,27.8901637213009,0.001373875928186793,0.04568432269326509
27,mixture,0.008750000000000006,5932142.726426468,11864291.452852936,28.396725542111472,0.0013740600459123896,0.044998042552906646
28,mixture,0.009000000000000006,5932370.447556498,11864746.895112997,28.896633250040345,0.0013743351636287646,0.04434398841595125
4,mixture,0.003000000000000001,5932375.082694818,11864756.165389637,14.558027985188058,0.0013962648125929878,0.08034207237087691
29,mixture,0.009250000000000006,5932604.233115183,11865214.466230366,29.390755311342872,0.0013746394150945223,0.04371910385351532
30,mixture,0.009500000000000007,5932843.486344558,11865692.972689116,29.87886169963762,0.0013750129772954222,0.0431217706595452
31,mixture,0.009750000000000007,5933087.666656689,11866181.333313378,30.361295991600908,0.0013754380432268603,0.04254995477724461
3,mixture,0.0027500000000000007,5933119.4020893695,11866244.804178739,13.805801502013464,0.0013989697889455475,0.0842267031478453
32,mixture,0.010000000000000007,5933336.283325049,11866678.566650098,30.83826769911375,0.0013759091671152813,0.04200192891530362
2,mixture,0.0025000000000000005,5934057.345165255,11868120.69033051,13.029692806516056,0.0014020431671443686,0.08869362319296187
1,mixture,0.0022500000000000003,5935242.290907239,11870490.581814477,12.225092894417187,0.0014056697622747457,0.09391089882730629
0,mixture,0.002,5936748.531697071,11873503.063394142,11.39954735955115,0.0014088998063667164,0.1
33,mixture,0.05,5970157.097736341,11940320.195472682,81.30200055145141,0.0014993364817135913,0.019810686641900763
34,mixture,0.1,5996672.122916152,11993350.245832304,123.08604191383617,0.0016014150612687066,0.014841378096274222
35,mixture,0.15000000000000002,6014133.726949482,12028273.453898964,156.41736730235004,0.001676970984710281,0.012692177975080944
36,mixture,0.2,6027116.783413252,12054239.566826504,184.9300039184778,0.0017386189473519976,0.011445548142180727
37,mixture,0.25,6037414.664104081,12074835.328208162,210.24535758561063,0.001790942820857965,0.010615098534478073
38,mixture,0.3,6045918.578506108,12091843.157012217,233.2506635566859,0.001836457931995226,0.010015349924810063
39,mixture,0.35000000000000003,6053137.90652337,12106281.81304674,254.5042187915311,0.0018766987922372727,0.009557906639682996
40,mixture,0.4,6059391.924194963,12118789.848389925,274.3810926820512,0.0019127225304020798,0.009194683788942361
41,mixture,0.45,6064894.289716927,12129794.579433855,293.1417953394385,0.001945285212084334,0.00889776880202417
42,mixture,0.5,6069795.145953869,12139596.291907739,310.97720723235136,0.0019749662408116548,0.008649273597279373
