model,w1,NLL,AIC,BIC,mean,phi1,phi2
mixture,0.005250000000000003,7074994.42880821,14149994.85761642,14150030.26471912,21.886270169595495,0.001251749427342683,0.05622553282381327
mixture,0.005500000000000003,7075006.106878684,14150018.213757368,14150053.620860066,22.539655763103095,0.0012509330582158233,0.05481471730966168
mixture,0.005000000000000003,7075016.671395605,14150039.34279121,14150074.74989391,21.221891581871894,0.0012526524157395066,0.05774690271243079
mixture,0.005750000000000003,7075047.563642512,14150101.127285024,14150136.534387723,23.182664861802785,0.0012501939005977116,0.05350211267639595
mixture,0.0047500000000000025,7075077.766484172,14150161.532968344,14150196.940071043,20.546281597857835,0.0012536301413841316,0.05939207836234112
mixture,0.006000000000000004,7075115.289739738,14150236.579479476,14150271.986582175,23.81572162821602,0.0012495288809611475,0.052277511744737146
mixture,0.004500000000000002,7075183.642229714,14150373.284459429,14150408.691562127,19.858616947539034,0.0012546948926549174,0.061178382381137104
mixture,0.006250000000000004,7075206.287537212,14150418.575074423,14150453.982177122,24.439246928489162,0.001248934269880351,0.051132030033482594
mixture,0.006500000000000004,7075317.977300851,14150641.954601701,14150677.3617044,25.05361507622089,0.0012484069103069675,0.0500579953087638
mixture,0.004250000000000002,7075341.497197172,14150688.994394343,14150724.401497042,19.15832234839584,0.0012558478852056488,0.06312541177475596
mixture,0.006750000000000004,7075448.123710513,14150902.247421026,14150937.654523725,25.659182179606287,0.0012479433238774418,0.04904869798151676
mixture,0.004000000000000002,7075560.168102575,14151126.33620515,14151161.743307848,18.444663972184554,0.001257085674892042,0.06525712561275927
mixture,0.0070000000000000045,7075594.777776362,14151195.555552725,14151230.962655423,26.256692443689197,0.0012475302717929431,0.04809740108561803
mixture,0.007250000000000005,7075756.230516207,14151518.461032415,14151553.868135113,26.845976437097455,0.0012471774916065698,0.04719997447028142
mixture,0.0037500000000000016,7075850.629331596,14151707.258663192,14151742.66576589,17.716711870240417,0.0012584221910831854,0.06760291829154101
mixture,0.007500000000000005,7075930.975748508,14151867.951497016,14151903.358599715,27.427603537237367,0.00124687430291232,0.04635129477248037
mixture,0.007750000000000005,7076117.679850357,14152241.359700713,14152276.766803412,28.001747979491455,0.0012466211638748035,0.045547513065240415
mixture,0.0035000000000000014,7076226.681188806,14152459.362377612,14152494.76948031,16.973373063601596,0.0012598539871729326,0.07019942310215162
mixture,0.008000000000000005,7076315.1570847975,14152636.314169595,14152671.721272293,28.569062277854584,0.0012464046733356288,0.044784337691101656
mixture,0.008250000000000006,7076522.349191172,14153050.698382344,14153086.105485043,29.129401790112254,0.0012462352012461379,0.044059246258910376
mixture,0.003250000000000001,7076705.912584153,14153417.825168306,14153453.232271004,16.21329827478484,0.0012613822979396052,0.07309287641203814
mixture,0.008500000000000006,7076738.308519228,14153482.617038457,14153518.024141155,29.683574437018834,0.0012460946863145923,0.04336841030345434
mixture,0.008750000000000006,7076962.18382475,14153930.3676495,14153965.774752198,30.231382902136613,0.0012459917105689527,0.042709974446267805
mixture,0.009000000000000006,7077193.208365147,14154392.416730294,14154427.823832992,30.773210791765628,0.0012459189964918146,0.04208134553118113
mixture,0.003000000000000001,7077311.072592453,14154628.145184906,14154663.552287605,15.434653460656621,0.0012630250853776944,0.07634345495277664
mixture,0.009250000000000006,7077430.689757425,14154867.37951485,14154902.78661755,31.30933677972525,0.0012458763016982993,0.04148027984209908
mixture,0.009500000000000007,7077674.001362073,14155354.002724146,14155389.409826845,31.839932443054177,0.001245857668352979,0.04090496682010873
mixture,0.009750000000000007,7077922.574828664,14155851.149657328,14155886.556760026,32.365227219132336,0.0012458669990428684,0.04035355173822208
mixture,0.0027500000000000007,7078072.065723002,14156150.131446004,14156185.538548702,14.635260956137339,0.001264793784295488,0.08002973456996477
mixture,0.010000000000000007,7078175.893743546,14156357.787487091,14156393.19458979,32.885438451516904,0.0012459011550689108,0.039824419296797385
mixture,0.0025000000000000005,7079028.9258504575,14158063.851700915,14158099.258803613,13.811924934112955,0.0012667289046173068,0.08426014070514175
mixture,0.0022500000000000003,7080236.377404508,14160478.754809016,14160514.161911715,12.960549946792826,0.0012688940375583538,0.08918553548389821
mixture,0.002,7081771.070138938,14163548.140277876,14163583.547380574,12.075478422981229,0.0012713983685524895,0.09502583236913828
mixture,0.05,7116289.522204631,14232585.044409262,14232620.45151196,92.45538198574857,0.0012809473783224996,0.017783011667160686
mixture,0.1,7144388.851302427,14288783.702604854,14288819.109707553,146.9369129118341,0.0013160223726255062,0.012684924569964583
mixture,0.15000000000000002,7163390.916783565,14326787.83356713,14326823.240669828,192.38548921157496,0.0013469927688379848,0.010490418838078426
mixture,0.2,7177884.738890829,14355775.477781657,14355810.884884356,231.86337155241142,0.0013761479842681864,0.009245330863251836
mixture,0.25,7189648.108030903,14379302.216061806,14379337.623164505,266.99361798903334,0.0014034999110155348,0.008439531388182063
mixture,0.3,7199558.155762325,14399122.31152465,14399157.718627349,298.8725003605301,0.001428903343817159,0.007872131345032621
mixture,0.35000000000000003,7208117.363977663,14416240.727955326,14416276.135058025,328.2407049186067,0.001452420147242834,0.0074486955463235185
mixture,0.4,7215643.56719979,14431293.13439958,14431328.541502278,355.6205160062867,0.0014741812775690571,0.0071188340152470555
mixture,0.45,7222352.152790893,14444710.305581786,14444745.712684484,381.39602231296055,0.0014943286361918503,0.0068529468151613615
mixture,0.5,7228396.590529949,14456799.181059899,14456834.588162597,405.83694674232873,0.0015130476221765182,0.006633227973087397
