model,w1,NLL,AIC,mean,phi1,phi2,bootstrap
mixture,0.005,5932803.721655274,11865613.443310548,24.13737094394486,0.0011799769399808918,0.05,boot_1
mixture,0.01,5933204.89658295,11866415.7931659,30.875087408532924,0.001373784623066659,0.04195639533865728,boot_1
mixture,0.015,5938664.833136016,11877335.666272031,39.53062337807923,0.0013884589165089611,0.034287967342872185,boot_1
mixture,0.02,5944182.795248183,11888371.590496367,47.008970717549495,0.0014063310100368718,0.02988937781183015,boot_1
mixture,0.025,5949374.411299381,11898754.822598763,53.746539143180954,0.001423818200774066,0.026942545272990146,boot_1
mixture,0.05,5970141.399456191,11940288.798912382,81.45388469350664,0.001496703318785836,0.01977225261559391,boot_1
mixture,0.07500000000000001,5985097.180544542,11970200.361089084,103.84129867156068,0.0015528004498588067,0.01665422334398866,boot_1
mixture,0.10000000000000002,5996720.326884136,11993446.653768271,123.26834557680587,0.0015992531879931307,0.014817458881198467,boot_1
mixture,0.12500000000000003,6006212.591099554,12012431.182199107,140.68448425709286,0.0016394364297072058,0.013578781641262937,boot_1
mixture,0.15000000000000002,6014225.493552347,12028456.987104693,156.60105999045496,0.001675141731543468,0.01267589707043409,boot_1
mixture,0.17500000000000004,6021150.4529158315,12042306.905831663,171.34091548161445,0.0017074087765800296,0.011983193781521108,boot_1
mixture,0.20000000000000007,6027241.000969393,12054488.001938786,185.12472567212424,0.0017369242242690286,0.011432057438426091,boot_1
mixture,0.22500000000000003,6032670.874185784,12065347.748371568,198.1222631385749,0.0017640863739703707,0.010980838545366942,boot_1
mixture,0.25000000000000006,6037564.427666061,12075134.855332121,210.4462192439314,0.0017893406861419396,0.010603711298120449,boot_1
mixture,0.2750000000000001,6042013.804821648,12084033.609643295,222.19789092995728,0.0018128857090829098,0.010282807882762705,boot_1
mixture,0.3000000000000001,6046089.22746784,12092184.45493568,233.45500231415383,0.0018349332691992364,0.010005529004539094,boot_1
mixture,0.32500000000000007,6049845.470867724,12099696.941735448,244.2756483540004,0.0018556725090708773,0.009763225644640936,boot_1
mixture,0.3500000000000001,6053326.105293252,12106658.210586503,254.71289018534912,0.0018752309191900386,0.00954910451038337,boot_1
mixture,0.3750000000000001,6056566.3703395035,12113138.740679007,264.80707925552895,0.0018937353340627936,0.009358284645459009,boot_1
mixture,0.4000000000000001,6059595.179925591,12119196.359851182,274.59832519037377,0.0019112650939920096,0.009186551918571281,boot_1
mixture,0.4250000000000001,6062436.555869506,12124879.111739011,284.10270723640707,0.0019279777626175214,0.009031723801590537,boot_1
mixture,0.4500000000000001,6065110.676226886,12130227.352453772,293.358682599864,0.0019438916893639794,0.008890425825684015,boot_1
mixture,0.47500000000000014,6067634.6553291865,12135275.310658373,302.3867914057917,0.001959049339271824,0.008761353280618977,boot_1
mixture,0.5000000000000002,6070023.135723668,12140052.271447336,311.20583704216403,0.0019735810561919732,0.00864165870186104,boot_1
null,,6101256.982951835,12202515.96590367,459.27074997908915,0.0021773648769174403,,boot_1
sum,,6134445.560714638,12268893.121429276,649.7821737696319,0.003077954552673005,,boot_1
mixture,0.005,5932903.2040318735,11865812.408063747,24.136202410462687,0.001180302430226389,0.05,boot_2
mixture,0.01,5933305.362501664,11866616.725003328,30.786905947391812,0.0013770774259059908,0.04208262197126527,boot_2
mixture,0.015,5938804.303835654,11877614.607671307,39.40764739971754,0.0013919995881213525,0.034402329380166824,boot_2
mixture,0.02,5944345.010516486,11888696.021032972,46.85767274939134,0.0014099628157175457,0.029994275218068557,boot_2
mixture,0.025,5949550.499671142,11899106.999342283,53.57246624557772,0.001427450498494093,0.02703922629446662,boot_2
mixture,0.05,5970333.722051843,11940673.444103686,81.21695709608024,0.001499913330277327,0.019840566364062916,boot_2
mixture,0.07500000000000001,5985278.297961714,11970562.595923427,103.58188586904393,0.0015555411327251565,0.01670665634648752,boot_2
mixture,0.10000000000000002,5996884.793700812,11993775.587401625,123.00385699398157,0.001601608153548627,0.014859672088100217,boot_2
mixture,0.12500000000000003,6006359.814268937,12012725.628537875,140.42135867948548,0.0016414961539334165,0.013614160038634113,boot_2
mixture,0.15000000000000002,6014356.226343084,12028718.452686168,156.34367291989204,0.0016769619678283,0.012706251217216809,boot_2
mixture,0.17500000000000004,6021265.811493322,12042537.622986645,171.09023666801562,0.001709045647585259,0.012009798614644435,boot_2
mixture,0.20000000000000007,6027342.144266859,12054690.288533717,184.88423209927294,0.0017383846420118687,0.011455591011809594,boot_2
mixture,0.22500000000000003,6032758.895552414,12065523.791104827,197.8860495279054,0.0017654543087762848,0.01100225575275845,boot_2
mixture,0.25000000000000006,6037640.322417929,12075286.644835858,210.21923593116094,0.0017905888467124615,0.010623175121761946,boot_2
mixture,0.2750000000000001,6042078.465951804,12084162.931903608,221.9808554183408,0.0018140288681783923,0.01030055001968834,boot_2
mixture,0.3000000000000001,6046143.452193977,12092292.904387955,233.2448118069379,0.001836001878867741,0.01002200743922598,boot_2
mixture,0.32500000000000007,6049889.97043963,12099785.94087926,244.07360390439936,0.0018566673575919719,0.009778529243361096,boot_2
mixture,0.3500000000000001,6053361.515240929,12106729.030481858,254.51735334512844,0.001876169512501455,0.009563458210842854,boot_2
mixture,0.3750000000000001,6056593.260080749,12113192.520161498,264.6175856266567,0.001894622827347084,0.009371859201945897,boot_2
mixture,0.4000000000000001,6059614.061227956,12119234.122455912,274.41106320703767,0.0019121286719987634,0.009199615056484466,boot_2
mixture,0.4250000000000001,6062447.890459113,12124901.780918226,283.92653944842885,0.0019287802985498079,0.009043719711392104,boot_2
