model,w1,NLL,AIC,mean,phi1,phi2,bootstrap
mixture,0.009750000000000007,1951065.71087701,3902137.42175402,26.221533490168703,0.0017153433810918003,0.048216582064381217,boot_1
mixture,0.009500000000000007,1951066.7891259892,3902139.5782519784,25.76609930119377,0.0017166411413240593,0.048957009509696135,boot_1
mixture,0.010000000000000007,1951067.6266984185,3902141.253396837,26.672466949868586,0.0017141375813688514,0.04750792270408204,boot_1
mixture,0.009250000000000006,1951071.071515412,3902148.143030824,25.305908679816657,0.001718044769954031,0.04973174886098786,boot_1
mixture,0.009000000000000006,1951078.7867542412,3902163.5735084824,24.840811976845973,0.0017195643748066918,0.05054335831734299,boot_1
mixture,0.008750000000000006,1951090.1843715762,3902186.3687431524,24.370708476935917,0.0017212023949280959,0.05139458063088832,boot_1
mixture,0.008500000000000006,1951105.5372184282,3902217.0744368564,23.895373071890177,0.0017229722049896283,0.05228868458511641,boot_1
mixture,0.008250000000000006,1951125.1443651624,3902256.2887303247,23.414730051568053,0.0017248755347223424,0.05322895610247855,boot_1
mixture,0.008000000000000005,1951149.3344446642,3902304.6688893284,22.92857174666181,0.001726924371943861,0.05421932811862688,boot_1
mixture,0.007750000000000005,1951178.4695501449,3902362.9391002897,22.436763182455785,0.0017291319586170196,0.055263941199181994,boot_1
mixture,0.007500000000000005,1951212.9497831932,3902431.8995663864,21.93909096667239,0.0017314927997322458,0.05636780576529146,boot_1
mixture,0.007250000000000005,1951253.2185829356,3902512.4371658713,21.435342600787724,0.0017340358773832284,0.05753623247991792,boot_1
mixture,0.0070000000000000045,1951299.7690152307,3902605.5380304614,20.92539923538721,0.001736764325321367,0.058775078669908144,boot_1
mixture,0.006750000000000004,1951353.1512031744,3902712.3024063488,20.408845494933754,0.0017396935043267727,0.06009189373604543,boot_1
mixture,0.006500000000000004,1951413.9811766688,3902833.9623533376,19.885536672087643,0.0017428496590040335,0.06149413429919376,boot_1
mixture,0.006250000000000004,1951482.9514656265,3902971.902931253,19.355284824143716,0.0017462329071149913,0.06299064673328306,boot_1
mixture,0.006000000000000004,1951560.8438154946,3903127.687630989,18.81764575962297,0.001749877528135528,0.06459228659824733,boot_1
mixture,0.005750000000000003,1951648.5446181698,3903303.0892363396,18.272413538528223,0.0017537941354428932,0.06631070849627732,boot_1
mixture,0.005500000000000003,1951747.063694874,3903500.127389748,17.719395084659794,0.0017579938388148342,0.06815925290004067,boot_1
mixture,0.005250000000000003,1951857.557395613,3903721.114791226,17.15804089596473,0.0017625196152741929,0.07015483466753597,boot_1
mixture,0.005000000000000003,1951981.3572123754,3903968.714424751,16.587859080788718,0.0017674085957550666,0.07231704594506715,boot_1
mixture,0.0047500000000000025,1952120.0056062653,3904246.0112125305,16.00851341522595,0.001772684117216962,0.07466823555675217,boot_1
mixture,0.004500000000000002,1952275.3013430745,3904556.602686149,15.419351483815788,0.0017783987412547434,0.07723649110122881,boot_1
mixture,0.004250000000000002,1952449.3576372124,3904904.7152744248,14.819830920920118,0.001784597862866816,0.08005488177309247,boot_1
mixture,0.004000000000000002,1952644.6777950644,3905295.355590129,14.209282804336196,0.0017913378936581061,0.08316414583937938,boot_1
mixture,0.0037500000000000016,1952864.2553008664,3905734.510601733,13.586973039493195,0.0017986837298427831,0.08661450426288482,boot_1
mixture,0.0035000000000000014,1953111.7087471802,3906229.4174943604,12.951980857070676,0.0018067237598989967,0.09046941111523128,boot_1
mixture,0.003250000000000001,1953391.4676152638,3906788.9352305275,12.303437148894291,0.0018155388392614054,0.09480816517039313,boot_1
mixture,0.003000000000000001,1953709.034001182,3907424.068002364,11.639857645867103,0.0018252859233402116,0.09973710689795479,boot_1
mixture,0.0027500000000000007,1954130.8455728448,3908267.6911456897,11.515300939762318,0.0017824723391882695,0.1,boot_1
mixture,0.0025000000000000005,1954767.542724031,3909541.085448062,11.418854956367937,0.0017314758584122797,0.1,boot_1
mixture,0.0022500000000000003,1955692.0791050864,3911390.158210173,11.32175963347059,0.001673783801861983,0.1,boot_1
mixture,0.002,1957010.5611619705,3914027.122323941,11.223891669908575,0.0016078570573167315,0.1,boot_1
mixture,0.05,1957920.7145264558,3915847.4290529117,73.76514202972376,0.0017851837410241798,0.020761932039795823,boot_1
mixture,0.1,1964853.8609703826,3929713.721940765,110.52292162696102,0.0019006328094722644,0.01554166156566645,boot_1
mixture,0.15000000000000002,1969758.4752550838,3939522.9505101675,138.97428591970174,0.0019895207699458755,0.013369142727886989,boot_1
mixture,0.2,1973516.4187397955,3947038.837479591,163.0122633417012,0.002061401029284303,0.012122889112213457,boot_1
mixture,0.25,1976546.533085622,3953099.066171244,184.24627203929174,0.0021215546567710884,0.01129379318438895,boot_1
mixture,0.3,1979074.435034232,3958154.870068464,203.5045866527404,0.002173208495350522,0.010693578237611837,boot_1
mixture,0.35000000000000003,1981235.2207116822,3962476.4414233644,221.28723195509212,0.0022183885900220095,0.01023379438164103,boot_1
mixture,0.4,1983116.1846893127,3966238.3693786254,237.91447166456788,0.0022585022141109728,0.009867456244690175,boot_1
mixture,0.45,1984777.0052434923,3969560.0104869846,253.61049064610137,0.002294518393553149,0.00956673084502206,boot_1
mixture,0.5,1986260.2839311124,3972526.5678622248,268.5365451970644,0.0023271612023557544,0.00931402239830631,boot_1
null,,1995750.9385465956,3991503.8770931913,392.48562056618204,0.002547864042910528,,boot_1
sum,,2006582.7039510289,4013167.4079020577,564.9936016127676,0.003539863096309451,,boot_1
mixture,0.009750000000000007,1950817.676715,3901641.35343,26.356706594345667,0.0017090417499630948,0.04794991937484362,boot_2
mixture,0.009500000000000007,1950818.3430433956,3901642.686086791,25.900120231715235,0.0017102865465698249,0.04868399501138785,boot_2
mixture,0.010000000000000007,1950820.042587024,3901646.085174048,26.808513795204586,0.0017078991852757137,0.04724777587270518,boot_2
mixture,0.009250000000000006,1950822.253612144,3901650.507224288,25.4386341587573,0.0017116489716396605,0.04945222283145825,boot_2
mixture,0.009000000000000006,1950829.6390591941,3901665.2781183883,24.972177290863833,0.00171311919882958,0.05025711151640698,boot_2
mixture,0.008750000000000006,1950840.7507631173,3901687.5015262347,24.50053357282355,0.0017147127185360737,0.05110158266618169,boot_2
mixture,0.008500000000000006,1950855.8633226498,3901717.7266452997,24.023489550559205,0.0017164431953735496,0.05198887304012271,boot_2
mixture,0.008250000000000006,1950875.2774152856,3901756.554830571,23.54090386224721,0.0017183185122346223,0.05292240952042962,boot_2
mixture,0.008000000000000005,1950899.3231099546,3901804.646219909,23.05276375203279,0.0017203339989783014,0.053905707690339706,boot_2
mixture,0.007750000000000005,1950928.3637144952,3901862.7274289904,22.55868069697945,0.0017225161098271408,0.05494353838530294,boot_2
mixture,0.007500000000000005,1950962.8002947962,3901931.6005895925,22.058564157016235,0.0017248686605363054,0.056040496394878875,boot_2
mixture,0.007250000000000005,1951003.0769646233,3902012.1539292466,21.552199275785824,0.0017274044950883632,0.05720203748670653,boot_2
mixture,0.0070000000000000045,1951049.6871390047,3902105.3742780094,21.039357824961982,0.001730136475669173,0.058434333338254645,boot_2
