model,w1,NLL,AIC,mean,phi1,phi2,bootstrap
mixture,0.004000000000000002,3976288.1279409407,7952582.255881881,18.582545642454505,0.0012364051261613649,0.06489715456596623,boot_1
mixture,0.0037500000000000016,3976289.6277132635,7952585.255426527,17.873428931133024,0.0012370031838391552,0.0671241152664414,boot_1
mixture,0.004250000000000002,3976325.298827714,7952656.597655428,19.277497391802154,0.0012358389231002568,0.06286880812765586,boot_1
mixture,0.0035000000000000014,3976338.2447734294,7952682.489546859,17.149557219933953,0.0012375766255110865,0.06958094566583373,boot_1
mixture,0.004500000000000002,3976394.5253471807,7952795.050694361,19.959189903491257,0.0012353071721562707,0.061012340567433765,boot_1
mixture,0.003250000000000001,3976444.9132356457,7952895.8264712915,16.409508274895266,0.0012381156007266018,0.0723092081625647,boot_1
mixture,0.0047500000000000025,3976490.5605222452,7952987.1210444905,20.628163824362414,0.001234836221205905,0.05930637956028684,boot_1
mixture,0.005000000000000003,3976609.192517264,7953224.385034528,21.284834495800638,0.0012344438836449114,0.05773327796050607,boot_1
mixture,0.003000000000000001,3976624.0005711773,7953254.001142355,15.651641154200604,0.0012385921174783386,0.07536167395448765,boot_1
mixture,0.005250000000000003,3976747.002145879,7953500.004291758,21.929821619138085,0.0012341284356808995,0.05627748602525479,boot_1
mixture,0.0027500000000000007,3976894.7019445226,7953795.403889045,14.87375395160243,0.0012389840526450843,0.07880786711398455,boot_1
mixture,0.005500000000000003,3976901.184031916,7953808.368063832,22.563352840049443,0.0012339080865858736,0.05492663289757983,boot_1
mixture,0.005750000000000003,3977069.413307003,7954144.826614006,23.185883845229217,0.0012337820818489422,0.05366950599971805,boot_1
mixture,0.006000000000000004,3977249.7451925236,7954505.490385047,23.797776940381873,0.0012337523418936786,0.05249658692555063,boot_1
mixture,0.0025000000000000005,3977283.149171657,7954572.298343314,14.072774103843338,0.0012392848011665472,0.08274244340748758,boot_1
mixture,0.006250000000000004,3977440.5386625943,7954887.077325189,24.399424620507887,0.0012338168528205368,0.051399507130394685,boot_1
mixture,0.006500000000000004,3977640.3978636493,7955286.795727299,24.991195494462794,0.0012339730939274342,0.05037098183313202,boot_1
mixture,0.0022500000000000003,3977825.6976298476,7955657.395259695,13.24437325776931,0.0012395242326601608,0.08729862406479032,boot_1
mixture,0.006750000000000004,3977848.126755338,7955702.253510676,25.57329700060547,0.0012342237167077693,0.049404921773283796,boot_1
mixture,0.0070000000000000045,3978062.6936848303,7956131.387369661,26.146507535839,0.0012345459283052609,0.04849483693491569,boot_1
mixture,0.007250000000000005,3978283.2034234395,7956572.406846879,26.71070163702622,0.0012349583209594049,0.04763662327334854,boot_1
mixture,0.007500000000000005,3978508.8749719807,7957023.749943961,27.266398480803854,0.0012354406975719258,0.04682555688730933,boot_1
mixture,0.002,3978574.2318777586,7957154.463755517,12.38242958797075,0.0012398014941675049,0.09267110717318706,boot_1
mixture,0.007750000000000005,3978739.0236982233,7957484.047396447,27.814285311909885,0.0012359783728030124,0.046057015699739114,boot_1
mixture,0.008000000000000005,3978973.046888292,7957952.093776584,28.35417631935487,0.0012365875780800577,0.045328347453079405,boot_1
mixture,0.008250000000000006,3979210.4119560295,7958426.823912059,28.886525504753532,0.001237257067820617,0.04463612640998193,boot_1
mixture,0.008500000000000006,3979450.6467170427,7958907.293434085,29.411833278700634,0.0012379702316016427,0.04397723569863152,boot_1
mixture,0.008750000000000006,3979693.3313007373,7959392.662601475,29.93032637067251,0.0012387310757695136,0.043349163954611594,boot_1
mixture,0.009000000000000006,3979938.091392359,7959882.182784718,30.441914579101876,0.0012395407917772461,0.04275023117741992,boot_1
mixture,0.009250000000000006,3980184.592564899,7960375.185129798,30.947125821665757,0.001240389598149328,0.0421778968380686,boot_1
mixture,0.009500000000000007,3980432.535406608,7960871.070813216,31.446631123941245,0.001241263084338468,0.04162965183259482,boot_1
mixture,0.009750000000000007,3980681.6514113816,7961369.302822763,31.939860904141426,0.0012421853864787917,0.041104918565677946,boot_1
mixture,0.010000000000000007,3980931.699439025,7961869.39887805,32.42797275136255,0.001243104696426057,0.040601063014353955,boot_1
