obs_start,obs_end,length,iteration,ind_idx,distribution
1464439,1464439,1,0,79939,geom
8029358,8029358,1,0,79939,geom
2761962,2761962,1,0,86184,geom
2030749,2030749,1,0,86184,geom
1018538,1018538,1,0,17761,geom
6674426,6674426,1,0,890,geom
1797996,1797996,1,0,29862,geom
8673226,8673226,1,0,73068,geom
9294618,9294618,1,0,16518,geom
7987528,7987528,1,0,16518,geom
387252,387252,1,0,16518,geom
6813327,6813327,1,0,10867,geom
4726218,4726218,1,0,102528,geom
5418510,5418510,1,0,116141,geom
2003261,2003261,1,0,4746,geom
6621632,6621632,1,0,51747,geom
920104,920104,1,0,50719,geom
8802615,8802615,1,0,113078,geom
8597256,8597256,1,0,48110,geom
1577779,1577779,1,0,87900,geom
4158469,4158469,1,0,113620,geom
4406452,4406452,1,0,77336,geom
8570177,8570177,1,0,3590,geom
7804466,7804466,1,0,87506,geom
9896297,9896297,1,0,87506,geom
6872578,6872578,1,0,70285,geom
8260985,8260985,1,0,70285,geom
2360847,2360847,1,0,70285,geom
8799529,8799529,1,0,19304,geom
348006,348006,1,0,19304,geom
4160,4160,1,0,69732,geom
2151845,2151845,1,0,69732,geom
17936,17936,1,0,69732,geom
5751761,5751761,1,0,65469,geom
2158921,2158921,1,0,65469,geom
8941974,8941974,1,0,65469,geom
8948967,8948967,1,0,65469,geom
2023367,2023367,1,0,16423,geom
8737824,8737824,1,0,68289,geom
6304611,6304611,1,0,68289,geom
472364,472364,1,0,73278,geom
7408131,7408182,52,0,8007,geom
4341791,4341791,1,0,14552,geom
4147629,4147629,1,0,110189,geom
1195225,1195225,1,0,19962,geom
3024327,3024327,1,0,19962,geom
9232787,9232787,1,0,19962,geom
1641081,1641081,1,0,19962,geom
432010,432010,1,0,98881,geom
9707936,9707936,1,0,115905,geom
2340206,2340206,1,0,7427,geom
7020385,7020385,1,0,6751,geom
6516765,6516765,1,0,119059,geom
2860701,2860701,1,0,123191,geom
6022910,6022910,1,0,123191,geom
7457647,7457647,1,0,21501,geom
4187112,4187122,11,0,92147,geom
489388,489388,1,0,55152,geom
2216706,2216706,1,0,55152,geom
7710704,7710704,1,0,43694,geom
647706,647706,1,0,43694,geom
2175711,2175711,1,0,113086,geom
3933758,3933758,1,0,56357,geom
4229059,4229059,1,0,56357,geom
4387574,4387574,1,0,59429,geom
9423204,9423204,1,0,6003,geom
4666378,4666378,1,0,28712,geom
4210545,4210545,1,0,28712,geom
9309648,9309648,1,0,28712,geom
2444310,2444310,1,0,97271,geom
8030456,8030456,1,0,104861,geom
5636706,5636706,1,0,104861,geom
1831001,1831001,1,0,21814,geom
4229059,4229059,1,0,21814,geom
1324241,1324241,1,0,11219,geom
4408854,4408854,1,0,5105,geom
6770776,6770776,1,0,5105,geom
8265353,8265353,1,0,60495,geom
576087,576087,1,0,114800,geom
3495325,3495325,1,0,99309,geom
3937023,3937023,1,0,8455,geom
9438673,9438673,1,0,8455,geom
5955637,5955637,1,0,71429,geom
6597655,6597655,1,0,27497,geom
5862958,5862958,1,0,27389,geom
796160,796160,1,0,27389,geom
3024523,3024523,1,0,27389,geom
7623601,7623601,1,0,31164,geom
6777453,6777453,1,0,31164,geom
6378149,6378149,1,0,118370,geom
5920900,5920900,1,0,60254,geom
4594556,4594556,1,0,60254,geom
3767843,3767843,1,0,60254,geom
1080220,1080220,1,0,103059,geom
7832370,7832370,1,0,60645,geom
5421373,5421373,1,0,70631,geom
7868143,7868143,1,0,93933,geom
1629758,1629758,1,0,93933,geom
1560770,1560770,1,0,93933,geom
3585659,3585659,1,0,110400,geom
1148741,1148741,1,0,110400,geom
9959960,9959960,1,0,3315,geom
8104192,8104192,1,0,87063,geom
3662738,3662738,1,0,1245,geom
2957948,2957948,1,0,51453,geom
4236706,4236706,1,0,51453,geom
1200913,1200913,1,0,51453,geom
7016794,7016794,1,0,51453,geom
9934649,9934649,1,0,119745,geom
5939925,5939925,1,0,119745,geom
3960211,3960211,1,0,119745,geom
5804873,5804873,1,0,38630,geom
1155674,1155674,1,0,79992,geom
9338041,9338041,1,0,79992,geom
9995461,9995461,1,0,88739,geom
9033410,9033410,1,0,88739,geom
603920,603920,1,0,106851,geom
2310233,2310233,1,0,106851,geom
834958,834958,1,0,63740,geom
3766027,3766027,1,0,113312,geom
7091012,7091012,1,0,20031,geom
9958473,9958473,1,0,77226,geom
4979454,4979454,1,0,124353,geom
5831678,5831678,1,0,124353,geom
6910295,6910295,1,0,7393,geom
8828212,8828212,1,0,7393,geom
3911133,3911133,1,0,63748,geom
3552672,3552672,1,0,63748,geom
5649650,5649650,1,0,101022,geom
1472961,1472961,1,0,101022,geom
9218286,9218286,1,0,121400,geom
9663330,9663330,1,0,87490,geom
9054660,9054660,1,0,118053,geom
6331547,6331547,1,0,94905,geom
8164546,8164546,1,0,21455,geom
930167,930167,1,0,38998,geom
9541972,9541972,1,0,38998,geom
4649570,4649570,1,0,38998,geom
4392558,4392558,1,0,103273,geom
414541,414541,1,0,103273,geom
5638114,5638114,1,0,16013,geom
1567142,1567142,1,0,5938,geom
5476832,5476832,1,0,5938,geom
7864093,7864093,1,0,103091,geom
2317141,2317141,1,0,37359,geom
3832419,3832419,1,0,102002,geom
9963864,9963864,1,0,102002,geom
3745848,3745848,1,0,2831,geom
6344437,6344437,1,0,2831,geom
1504374,1504374,1,0,109351,geom
1582348,1582348,1,0,124891,geom
8963644,8963644,1,0,72281,geom
1641081,1641081,1,0,590,geom
6624992,6624992,1,0,590,geom
6595336,6595336,1,0,10199,geom
7322052,7322052,1,0,34589,geom
1982982,1982982,1,0,34589,geom
1976462,1976462,1,0,34589,geom
5501499,5501499,1,0,97886,geom
9787736,9787736,1,0,97886,geom
9798196,9798196,1,0,81509,geom
2978274,2978274,1,0,15617,geom
1493321,1493321,1,0,1985,geom
8911292,8911292,1,0,101288,geom
7998130,7998130,1,0,82865,geom
7073793,7073793,1,0,109002,geom
976543,976543,1,0,109002,geom
662093,662093,1,0,109002,geom
4089423,4089423,1,0,77549,geom
6605274,6605274,1,0,77549,geom
5939385,5939385,1,0,77549,geom
5991183,5991183,1,0,29236,geom
5635682,5635682,1,0,115084,geom
4595760,4595760,1,0,28949,geom
5100169,5100169,1,0,56816,geom
8111376,8111376,1,0,109716,geom
1195225,1195225,1,0,109716,geom
4104045,4104045,1,0,109716,geom
9620104,9620104,1,0,119760,geom
7268433,7268433,1,0,119760,geom
8619492,8619492,1,0,93674,geom
6546252,6546310,59,0,64702,geom
7918344,7918344,1,0,19391,geom
2299872,2299872,1,0,19391,geom
7282670,7282670,1,0,89822,geom
2031251,2031251,1,0,5423,geom
8801822,8801822,1,0,72832,geom
3907614,3907614,1,0,63117,geom
6817282,6817282,1,0,63117,geom
8705414,8705414,1,0,117675,geom
8321301,8321301,1,0,117675,geom
7355389,7355389,1,0,16220,geom
2057274,2057274,1,0,16220,geom
9634454,9634454,1,0,62488,geom
6578921,6578921,1,0,19179,geom
4545927,4545927,1,0,113451,geom
4955686,4955686,1,0,113451,geom
1415520,1415520,1,0,113451,geom
2086224,2086224,1,0,58360,geom
2778996,2778996,1,0,58360,geom
2417059,2417059,1,0,27414,geom
8946324,8946324,1,0,27414,geom
